paper_id	title	topic_code	scope	verification_status	canonical_url	arxiv_id	doi	acl_id	arxiv_id_year	authors	venue	publication_year	metadata_source_url	discovery_sources	source_rows	link_check_date	link_check_note
P0001	LILAC: Log Parsing using LLMs with Adaptive Parsing Cache	AIOPS_RCA	direct_AIOps_log_observability	primary_title_identifier_confirmed	https://arxiv.org/abs/2310.01796	2310.01796			2023				https://arxiv.org/abs/2310.01796	"[""https://github.com/OpsPAI/awesome-AIOps/blob/main/README.md""]"	"[""R0001""]"	2026-09-12	Đối chiếu trang metadata nguồn gốc; không đọc toàn văn.
P0002	Exploring LLM-based Agents for Root Cause Analysis	AIOPS_RCA	direct_AIOps_log_observability	primary_title_identifier_confirmed	https://arxiv.org/abs/2403.04123	2403.04123			2024				https://arxiv.org/abs/2403.04123	"[""https://github.com/OpsPAI/awesome-AIOps/blob/main/README.md""]"	"[""R0002""]"	2026-09-12	Đối chiếu trang metadata nguồn gốc; không đọc toàn văn.
P0003	Nissist: An Incident Mitigation Copilot based on Troubleshooting Guides	AIOPS_RCA	direct_AIOps_log_observability	primary_title_identifier_confirmed	https://arxiv.org/abs/2402.17531	2402.17531			2024				https://arxiv.org/abs/2402.17531	"[""https://github.com/OpsPAI/awesome-AIOps/blob/main/README.md""]"	"[""R0003""]"	2026-09-12	Đối chiếu trang metadata nguồn gốc; không đọc toàn văn.
P0004	Automated Root Causing of Cloud Incidents using In-Context Learning with GPT-4	AIOPS_RCA	direct_AIOps_log_observability	primary_title_identifier_confirmed	https://arxiv.org/abs/2401.13810	2401.13810			2024				https://arxiv.org/abs/2401.13810	"[""https://github.com/OpsPAI/awesome-AIOps/blob/main/README.md""]"	"[""R0004""]"	2026-09-12	Đối chiếu trang metadata nguồn gốc; không đọc toàn văn.
P0005	Automatic Root Cause Analysis via Large Language Models for Cloud Incidents	AIOPS_RCA	direct_AIOps_log_observability	primary_title_identifier_confirmed	https://arxiv.org/abs/2305.15778	2305.15778			2023				https://arxiv.org/abs/2305.15778	"[""https://github.com/OpsPAI/awesome-AIOps/blob/main/README.md""]"	"[""R0005""]"	2026-09-12	Đối chiếu trang metadata nguồn gốc; không đọc toàn văn.
P0006	OpsEval: A Comprehensive IT Operations Benchmark Suite for Large Language Models	AIOPS_RCA	direct_AIOps_log_observability	primary_title_identifier_confirmed	https://arxiv.org/abs/2310.07637	2310.07637			2023				https://arxiv.org/abs/2310.07637	"[""https://github.com/OpsPAI/awesome-AIOps/blob/main/README.md""]"	"[""R0006""]"	2026-09-12	Đối chiếu trang metadata nguồn gốc; không đọc toàn văn.
P0007	Xpert: Empowering Incident Management with Query Recommendations via Large Language Models	AIOPS_RCA	direct_AIOps_log_observability	primary_title_identifier_confirmed	https://arxiv.org/abs/2312.11988	2312.11988			2023				https://arxiv.org/abs/2312.11988	"[""https://github.com/OpsPAI/awesome-AIOps/blob/main/README.md""]"	"[""R0007""]"	2026-09-12	Đối chiếu trang metadata nguồn gốc; không đọc toàn văn.
P0008	Exploring the Effectiveness of LLMs in Automated Logging Generation: An Empirical Study	AIOPS_RCA	direct_AIOps_log_observability	primary_title_identifier_confirmed	https://arxiv.org/abs/2307.05950	2307.05950			2023				https://arxiv.org/abs/2307.05950	"[""https://github.com/OpsPAI/awesome-AIOps/blob/main/README.md""]"	"[""R0008""]"	2026-09-12	Đối chiếu trang metadata nguồn gốc; không đọc toàn văn.
P0009	Assess and Summarize: Improve Outage Understanding with Large Language Models	AIOPS_RCA	direct_AIOps_log_observability	primary_title_identifier_confirmed	https://arxiv.org/abs/2305.18084	2305.18084			2023				https://arxiv.org/abs/2305.18084	"[""https://github.com/OpsPAI/awesome-AIOps/blob/main/README.md""]"	"[""R0009""]"	2026-09-12	Đối chiếu trang metadata nguồn gốc; không đọc toàn văn.
P0010	Empower Large Language Model to Perform Better on Industrial Domain-Specific Question Answering	AIOPS_RCA	direct_AIOps_log_observability	primary_title_identifier_confirmed	https://arxiv.org/abs/2305.11541	2305.11541			2023				https://arxiv.org/abs/2305.11541	"[""https://github.com/OpsPAI/awesome-AIOps/blob/main/README.md""]"	"[""R0010""]"	2026-09-12	Đối chiếu trang metadata nguồn gốc; không đọc toàn văn.
P0011	Recommending Root-Cause and Mitigation Steps for Cloud Incidents using Large Language Models	AIOPS_RCA	direct_AIOps_log_observability	primary_title_identifier_confirmed	https://arxiv.org/abs/2301.03797	2301.03797			2023				https://arxiv.org/abs/2301.03797	"[""https://github.com/OpsPAI/awesome-AIOps/blob/main/README.md""]"	"[""R0011""]"	2026-09-12	Đối chiếu trang metadata nguồn gốc; không đọc toàn văn.
P0012	A System-Wide Debugging Assistant Powered by Natural Language Processing	AIOPS_RCA	direct_AIOps_log_observability	blocked_or_unreadable	https://doi.org/10.1145/3357223.3362701		10.1145/3357223.3362701						https://doi.org/10.1145/3357223.3362701	"[""https://github.com/OpsPAI/awesome-AIOps/blob/main/README.md""]"	"[""R0012""]"	2026-09-12	Primary landing page not readable through web tool (DOI routing, robots, rate limit or fetch error); not evidence that URL is dead
P0013	Mining Root Cause Knowledge from Cloud Service Incident Investigations for AIOps	AIOPS_RCA	direct_AIOps_log_observability	primary_title_identifier_confirmed	https://arxiv.org/abs/2204.11598	2204.11598			2022				https://arxiv.org/abs/2204.11598	"[""https://github.com/OpsPAI/awesome-AIOps/blob/main/README.md""]"	"[""R0013""]"	2026-09-12	Đối chiếu trang metadata nguồn gốc; không đọc toàn văn.
P0014	Neural knowledge extraction from cloud service incidents	AIOPS_RCA	direct_AIOps_log_observability	blocked_or_unreadable	https://doi.org/10.1109/ICSE-SEIP52600.2021.00031		10.1109/icse-seip52600.2021.00031						https://doi.org/10.1109/ICSE-SEIP52600.2021.00031	"[""https://github.com/OpsPAI/awesome-AIOps/blob/main/README.md""]"	"[""R0014""]"	2026-09-12	Primary landing page not readable through web tool (DOI routing, robots, rate limit or fetch error); not evidence that URL is dead
P0015	SoftNER: Mining Knowledge Graphs From Cloud Incidents	AIOPS_RCA	direct_AIOps_log_observability	primary_title_identifier_confirmed	https://arxiv.org/abs/2101.05961	2101.05961			2021				https://arxiv.org/abs/2101.05961	"[""https://github.com/OpsPAI/awesome-AIOps/blob/main/README.md""]"	"[""R0015""]"	2026-09-12	Đối chiếu trang metadata nguồn gốc; không đọc toàn văn.
P0016	A Causality Mining and Knowledge Graph Based Method of Root Cause Diagnosis for Performance Anomaly in Cloud Applications	AIOPS_RCA	direct_AIOps_log_observability	blocked_or_unreadable	https://www.mdpi.com/2076-3417/10/6/2166								https://www.mdpi.com/2076-3417/10/6/2166	"[""https://github.com/OpsPAI/awesome-AIOps/blob/main/README.md""]"	"[""R0016""]"	2026-09-12	Primary landing page not readable through web tool (DOI routing, robots, rate limit or fetch error); not evidence that URL is dead
P0017	Sage: Practical & Scalable ML-Driven Performance Debugging in Microservices	AIOPS_RCA	direct_AIOps_log_observability	blocked_or_unreadable	https://doi.org/10.1145/3445814.3446700		10.1145/3445814.3446700						https://doi.org/10.1145/3445814.3446700	"[""https://github.com/OpsPAI/awesome-AIOps/blob/main/README.md""]"	"[""R0017""]"	2026-09-12	Primary landing page not readable through web tool (DOI routing, robots, rate limit or fetch error); not evidence that URL is dead
P0018	Graph-based trace analysis for microservice architecture understanding and problem diagnosis	AIOPS_RCA	direct_AIOps_log_observability	blocked_or_unreadable	https://doi.org/10.1145/3368089.3417066		10.1145/3368089.3417066						https://doi.org/10.1145/3368089.3417066	"[""https://github.com/OpsPAI/awesome-AIOps/blob/main/README.md""]"	"[""R0018""]"	2026-09-12	Primary landing page not readable through web tool (DOI routing, robots, rate limit or fetch error); not evidence that URL is dead
P0019	FIRM: An Intelligent Fine-grained Resource Management Framework for SLO-Oriented Microservices	AIOPS_RCA	direct_AIOps_log_observability	primary_title_identifier_confirmed	https://www.usenix.org/conference/osdi20/presentation/qiu								https://www.usenix.org/conference/osdi20/presentation/qiu	"[""https://github.com/OpsPAI/awesome-AIOps/blob/main/README.md""]"	"[""R0019""]"	2026-09-12	Đối chiếu trang metadata nguồn gốc; không đọc toàn văn.
P0020	Latent Error Prediction and Fault Localization for Microservice Applications by Learning from System Trace Logs	AIOPS_RCA	direct_AIOps_log_observability	blocked_or_unreadable	https://doi.org/10.1145/3338906.3338961		10.1145/3338906.3338961						https://doi.org/10.1145/3338906.3338961	"[""https://github.com/OpsPAI/awesome-AIOps/blob/main/README.md""]"	"[""R0020""]"	2026-09-12	Primary landing page not readable through web tool (DOI routing, robots, rate limit or fetch error); not evidence that URL is dead
P0021	Fault Analysis and Debugging of Microservice Systems: Industrial Survey, Benchmark System, and Empirical Study	AIOPS_RCA	direct_AIOps_log_observability	blocked_or_unreadable	https://ieeexplore.ieee.org/document/8580420/								https://ieeexplore.ieee.org/document/8580420/	"[""https://github.com/OpsPAI/awesome-AIOps/blob/main/README.md""]"	"[""R0021""]"	2026-09-12	Primary landing page not readable through web tool (DOI routing, robots, rate limit or fetch error); not evidence that URL is dead
P0022	AID: Efficient Prediction of Aggregated Intensity of Dependency in Large-scale Cloud Systems	AIOPS_RCA	direct_AIOps_log_observability	primary_title_identifier_confirmed	https://arxiv.org/abs/2109.04893	2109.04893			2021				https://arxiv.org/abs/2109.04893	"[""https://github.com/OpsPAI/awesome-AIOps/blob/main/README.md""]"	"[""R0022""]"	2026-09-12	Đối chiếu trang metadata nguồn gốc; không đọc toàn văn.
P0023	X-Trace: A Pervasive Network Tracing Framework	AIOPS_RCA	direct_AIOps_log_observability	primary_title_identifier_confirmed	https://www.usenix.org/conference/nsdi-07/x-trace-pervasive-network-tracing-framework								https://www.usenix.org/conference/nsdi-07/x-trace-pervasive-network-tracing-framework	"[""https://github.com/OpsPAI/awesome-AIOps/blob/main/README.md""]"	"[""R0023""]"	2026-09-12	Đối chiếu trang metadata nguồn gốc; không đọc toàn văn.
P0024	Discovering Dependencies for Network Management	AIOPS_RCA	direct_AIOps_log_observability	pdf_readable_title_pending	https://www.microsoft.com/en-us/research/wp-content/uploads/2006/11/hotnets06.pdf								https://www.microsoft.com/en-us/research/wp-content/uploads/2006/11/hotnets06.pdf	"[""https://github.com/OpsPAI/awesome-AIOps/blob/main/README.md""]"	"[""R0024""]"	2026-09-12	PDF fetched but header/title not yet inspected
P0025	The Tale of Errors in Microservices	AIOPS_RCA	direct_AIOps_log_observability	blocked_or_unreadable	https://doi.org/10.1145/3700436		10.1145/3700436						https://doi.org/10.1145/3700436	"[""https://github.com/OpsPAI/awesome-AIOps/blob/main/README.md""]"	"[""R0025""]"	2026-09-12	Primary landing page not readable through web tool (DOI routing, robots, rate limit or fetch error); not evidence that URL is dead
P0026	Share or Not Share? Towards the Practicability of Deep Models for Unsupervised Anomaly Detection in Modern Online Systems	AIOPS_RCA	direct_AIOps_log_observability	blocked_or_unreadable	https://ieeexplore.ieee.org/document/9978953								https://ieeexplore.ieee.org/document/9978953	"[""https://github.com/OpsPAI/awesome-AIOps/blob/main/README.md""]"	"[""R0026""]"	2026-09-12	Primary landing page not readable through web tool (DOI routing, robots, rate limit or fetch error); not evidence that URL is dead
P0027	Adaptive Performance Anomaly Detection for Online Service Systems via Pattern Sketching	AIOPS_RCA	direct_AIOps_log_observability	primary_title_identifier_confirmed	https://arxiv.org/abs/2201.02944	2201.02944			2022				https://arxiv.org/abs/2201.02944	"[""https://github.com/OpsPAI/awesome-AIOps/blob/main/README.md""]"	"[""R0027""]"	2026-09-12	Đối chiếu trang metadata nguồn gốc; không đọc toàn văn.
P0028	Time-Series Anomaly Detection Service at Microsoft	AIOPS_RCA	direct_AIOps_log_observability	blocked_or_unreadable	https://doi.org/10.1145/3292500.3330680		10.1145/3292500.3330680						https://doi.org/10.1145/3292500.3330680	"[""https://github.com/OpsPAI/awesome-AIOps/blob/main/README.md""]"	"[""R0028""]"	2026-09-12	Primary landing page not readable through web tool (DOI routing, robots, rate limit or fetch error); not evidence that URL is dead
P0029	Identifying Impactful Service System Problems via Log Analysis	AIOPS_RCA	direct_AIOps_log_observability	blocked_or_unreadable	https://doi.org/10.1145/3236024.3236083		10.1145/3236024.3236083						https://doi.org/10.1145/3236024.3236083	"[""https://github.com/OpsPAI/awesome-AIOps/blob/main/README.md""]"	"[""R0029""]"	2026-09-12	Primary landing page not readable through web tool (DOI routing, robots, rate limit or fetch error); not evidence that URL is dead
P0030	DeepLog: Anomaly Detection and Diagnosis from System Logs through Deep Learning	AIOPS_RCA	direct_AIOps_log_observability	blocked_or_unreadable	https://doi.org/10.1145/3133956.3134015		10.1145/3133956.3134015						https://doi.org/10.1145/3133956.3134015	"[""https://github.com/OpsPAI/awesome-AIOps/blob/main/README.md""]"	"[""R0030""]"	2026-09-12	Primary landing page not readable through web tool (DOI routing, robots, rate limit or fetch error); not evidence that URL is dead
P0031	Murphy: Performance Diagnosis of Distributed Cloud Applications	AIOPS_RCA	direct_AIOps_log_observability	blocked_or_unreadable	https://doi.org/10.1145/3603269.3604877		10.1145/3603269.3604877						https://doi.org/10.1145/3603269.3604877	"[""https://github.com/OpsPAI/awesome-AIOps/blob/main/README.md""]"	"[""R0031""]"	2026-09-12	Primary landing page not readable through web tool (DOI routing, robots, rate limit or fetch error); not evidence that URL is dead
P0032	Nezha: Interpretable Fine-Grained Root Causes Analysis for Microservices on Multi-modal Observability Data	AIOPS_RCA	direct_AIOps_log_observability	blocked_or_unreadable	https://doi.org/10.1145/3611643.3616249		10.1145/3611643.3616249						https://doi.org/10.1145/3611643.3616249	"[""https://github.com/OpsPAI/awesome-AIOps/blob/main/README.md""]"	"[""R0032""]"	2026-09-12	Primary landing page not readable through web tool (DOI routing, robots, rate limit or fetch error); not evidence that URL is dead
P0033	Capturing and Enhancing In Situ System Observability for Failure Detection	AIOPS_RCA	direct_AIOps_log_observability	primary_title_identifier_confirmed	https://www.usenix.org/conference/osdi18/presentation/huang								https://www.usenix.org/conference/osdi18/presentation/huang	"[""https://github.com/OpsPAI/awesome-AIOps/blob/main/README.md""]"	"[""R0033""]"	2026-09-12	Đối chiếu trang metadata nguồn gốc; không đọc toàn văn.
P0034	AutoARTS: Taxonomy, Insights and Tools for Root Cause Labelling of Incidents in Microsoft Azure	AIOPS_RCA	direct_AIOps_log_observability	primary_title_identifier_confirmed	https://www.usenix.org/conference/atc23/presentation/dogga								https://www.usenix.org/conference/atc23/presentation/dogga	"[""https://github.com/OpsPAI/awesome-AIOps/blob/main/README.md""]"	"[""R0034""]"	2026-09-12	Đối chiếu trang metadata nguồn gốc; không đọc toàn văn.
P0035	Incident-aware Duplicate Ticket Aggregation for Cloud Systems	AIOPS_RCA	direct_AIOps_log_observability	primary_title_identifier_confirmed	https://arxiv.org/abs/2302.09520	2302.09520			2023				https://arxiv.org/abs/2302.09520	"[""https://github.com/OpsPAI/awesome-AIOps/blob/main/README.md""]"	"[""R0035""]"	2026-09-12	Đối chiếu trang metadata nguồn gốc; không đọc toàn văn.
P0036	How to Fight Production Incidents? An Empirical Study on a Large-scale Cloud Service	AIOPS_RCA	direct_AIOps_log_observability	blocked_or_unreadable	https://doi.org/10.1145/3542929.3563482		10.1145/3542929.3563482						https://doi.org/10.1145/3542929.3563482	"[""https://github.com/OpsPAI/awesome-AIOps/blob/main/README.md""]"	"[""R0036""]"	2026-09-12	Primary landing page not readable through web tool (DOI routing, robots, rate limit or fetch error); not evidence that URL is dead
P0037	Characterizing and Mitigating Anti-patterns of Alerts in Industrial Cloud Systems	AIOPS_RCA	direct_AIOps_log_observability	primary_title_identifier_confirmed	https://arxiv.org/abs/2204.09670	2204.09670			2022				https://arxiv.org/abs/2204.09670	"[""https://github.com/OpsPAI/awesome-AIOps/blob/main/README.md""]"	"[""R0037""]"	2026-09-12	Đối chiếu trang metadata nguồn gốc; không đọc toàn văn.
P0038	Fighting the Fog of War: Automated Incident Detection for Cloud Systems	AIOPS_RCA	direct_AIOps_log_observability	primary_title_identifier_confirmed	https://www.usenix.org/conference/atc21/presentation/li-liqun								https://www.usenix.org/conference/atc21/presentation/li-liqun	"[""https://github.com/OpsPAI/awesome-AIOps/blob/main/README.md""]"	"[""R0038""]"	2026-09-12	Đối chiếu trang metadata nguồn gốc; không đọc toàn văn.
P0039	Graph-based Incident Aggregation for Large-Scale Online Service Systems	AIOPS_RCA	direct_AIOps_log_observability	primary_title_identifier_confirmed	https://arxiv.org/abs/2108.12179	2108.12179			2021				https://arxiv.org/abs/2108.12179	"[""https://github.com/OpsPAI/awesome-AIOps/blob/main/README.md""]"	"[""R0039""]"	2026-09-12	Đối chiếu trang metadata nguồn gốc; không đọc toàn văn.
P0040	Groot: An Event-graph-based Approach for Root Cause Analysis in Industrial Settings	AIOPS_RCA	direct_AIOps_log_observability	primary_title_identifier_confirmed	https://arxiv.org/abs/2108.00344	2108.00344			2021				https://arxiv.org/abs/2108.00344	"[""https://github.com/OpsPAI/awesome-AIOps/blob/main/README.md""]"	"[""R0040""]"	2026-09-12	Đối chiếu trang metadata nguồn gốc; không đọc toàn văn.
P0041	Scouts: Improving the Diagnosis Process Through Domain-customized Incident Routing	AIOPS_RCA	direct_AIOps_log_observability	blocked_or_unreadable	https://doi.org/10.1145/3387514.3405867		10.1145/3387514.3405867						https://doi.org/10.1145/3387514.3405867	"[""https://github.com/OpsPAI/awesome-AIOps/blob/main/README.md""]"	"[""R0041""]"	2026-09-12	Primary landing page not readable through web tool (DOI routing, robots, rate limit or fetch error); not evidence that URL is dead
P0042	How Incidental are the Incidents?: Characterizing and Prioritizing Incidents for Large-Scale Online Service Systems	AIOPS_RCA	direct_AIOps_log_observability	blocked_or_unreadable	https://doi.org/10.1145/3324884.3416624		10.1145/3324884.3416624						https://doi.org/10.1145/3324884.3416624	"[""https://github.com/OpsPAI/awesome-AIOps/blob/main/README.md""]"	"[""R0042""]"	2026-09-12	Primary landing page not readable through web tool (DOI routing, robots, rate limit or fetch error); not evidence that URL is dead
P0043	Identifying linked incidents in large-scale online service systems	AIOPS_RCA	direct_AIOps_log_observability	blocked_or_unreadable	https://doi.org/10.1145/3368089.3409768		10.1145/3368089.3409768						https://doi.org/10.1145/3368089.3409768	"[""https://github.com/OpsPAI/awesome-AIOps/blob/main/README.md""]"	"[""R0043""]"	2026-09-12	Primary landing page not readable through web tool (DOI routing, robots, rate limit or fetch error); not evidence that URL is dead
P0044	Efficient incident identification from multi-dimensional issue reports via meta-heuristic search	AIOPS_RCA	direct_AIOps_log_observability	blocked_or_unreadable	https://doi.org/10.1145/3368089.3409741		10.1145/3368089.3409741						https://doi.org/10.1145/3368089.3409741	"[""https://github.com/OpsPAI/awesome-AIOps/blob/main/README.md""]"	"[""R0044""]"	2026-09-12	Primary landing page not readable through web tool (DOI routing, robots, rate limit or fetch error); not evidence that URL is dead
P0045	Real-time incident prediction for online service systems	AIOPS_RCA	direct_AIOps_log_observability	blocked_or_unreadable	https://doi.org/10.1145/3368089.3409672		10.1145/3368089.3409672						https://doi.org/10.1145/3368089.3409672	"[""https://github.com/OpsPAI/awesome-AIOps/blob/main/README.md""]"	"[""R0045""]"	2026-09-12	Primary landing page not readable through web tool (DOI routing, robots, rate limit or fetch error); not evidence that URL is dead
P0046	How to mitigate the incident? an effective troubleshooting guide recommendation technique for online service systems	AIOPS_RCA	direct_AIOps_log_observability	blocked_or_unreadable	https://doi.org/10.1145/3368089.3417054		10.1145/3368089.3417054						https://doi.org/10.1145/3368089.3417054	"[""https://github.com/OpsPAI/awesome-AIOps/blob/main/README.md""]"	"[""R0046""]"	2026-09-12	Primary landing page not readable through web tool (DOI routing, robots, rate limit or fetch error); not evidence that URL is dead
P0047	Understanding and Handling Alert Storm for Online Service Systems	AIOPS_RCA	direct_AIOps_log_observability	blocked_or_unreadable	https://doi.org/10.1145/3377813.3381363		10.1145/3377813.3381363						https://doi.org/10.1145/3377813.3381363	"[""https://github.com/OpsPAI/awesome-AIOps/blob/main/README.md""]"	"[""R0047""]"	2026-09-12	Primary landing page not readable through web tool (DOI routing, robots, rate limit or fetch error); not evidence that URL is dead
P0048	What bugs cause production cloud incidents?	AIOPS_RCA	direct_AIOps_log_observability	blocked_or_unreadable	https://doi.org/10.1145/3317550.3321438		10.1145/3317550.3321438						https://doi.org/10.1145/3317550.3321438	"[""https://github.com/OpsPAI/awesome-AIOps/blob/main/README.md""]"	"[""R0048""]"	2026-09-12	Primary landing page not readable through web tool (DOI routing, robots, rate limit or fetch error); not evidence that URL is dead
P0049	Continuous Incident Triage for Large-Scale Online Service Systems	AIOPS_RCA	direct_AIOps_log_observability	blocked_or_unreadable	https://doi.org/10.1109/ASE.2019.00042		10.1109/ase.2019.00042						https://doi.org/10.1109/ASE.2019.00042	"[""https://github.com/OpsPAI/awesome-AIOps/blob/main/README.md""]"	"[""R0049""]"	2026-09-12	Primary landing page not readable through web tool (DOI routing, robots, rate limit or fetch error); not evidence that URL is dead
P0050	An empirical investigation of incident triage for online service systems	AIOPS_RCA	direct_AIOps_log_observability	blocked_or_unreadable	https://doi.org/10.1109/ICSE-SEIP.2019.00020		10.1109/icse-seip.2019.00020						https://doi.org/10.1109/ICSE-SEIP.2019.00020	"[""https://github.com/OpsPAI/awesome-AIOps/blob/main/README.md""]"	"[""R0050""]"	2026-09-12	Primary landing page not readable through web tool (DOI routing, robots, rate limit or fetch error); not evidence that URL is dead
P0051	Outage Prediction and Diagnosis for Cloud Service Systems	AIOPS_RCA	direct_AIOps_log_observability	blocked_or_unreadable	https://doi.org/10.1145/3308558.3313501		10.1145/3308558.3313501						https://doi.org/10.1145/3308558.3313501	"[""https://github.com/OpsPAI/awesome-AIOps/blob/main/README.md""]"	"[""R0051""]"	2026-09-12	Primary landing page not readable through web tool (DOI routing, robots, rate limit or fetch error); not evidence that URL is dead
P0052	A Survey of AIOps for Failure Management in the Era of Large Language Models	LLM_AIOPS_RCA	direct_AIOps_log_observability	primary_title_identifier_confirmed	https://arxiv.org/abs/2406.11213	2406.11213			2024				https://arxiv.org/abs/2406.11213	"[""https://github.com/Jun-jie-Huang/awesome-LLM-AIOps/blob/main/README.md""]"	"[""R0052""]"	2026-09-12	Đối chiếu trang metadata nguồn gốc; không đọc toàn văn.
