paper_id	title	reference_title	authors	preprint_year	publication_year	venue	arxiv_id	publication_doi	canonical_url	reference_url	metadata_source_url	publication_metadata_url	identity_status	acquisition_status	read_depth	fulltext_local_available	priority_reading
P0001	LILAC: Log Parsing using LLMs with Adaptive Parsing Cache	LILAC: Log Parsing using LLMs with Adaptive Parsing Cache	Zhihan Jiang; Jinyang Liu; Zhuangbin Chen; Yichen Li; Junjie Huang; Yintong Huo; Pinjia He; Jiazhen Gu; Michael R. Lyu	2023	2024	Proceedings of the ACM on Software Engineering	2310.01796	10.1145/3643733	https://arxiv.org/abs/2310.01796	https://doi.org/10.1145/3643733	https://api.datacite.org/dois/10.48550/arxiv.2310.01796	https://api.crossref.org/works/10.1145%2F3643733	matched	ok	fulltext_selected_sections	True	True
P0002	Exploring LLM-based Agents for Root Cause Analysis	Exploring LLM-based Agents for Root Cause Analysis	Roy, Devjeet; Zhang, Xuchao; Bhave, Rashi; Bansal, Chetan; Las-Casas, Pedro; Fonseca, Rodrigo; Rajmohan, Saravan	2024			2403.04123		https://arxiv.org/abs/2403.04123	https://arxiv.org/abs/2403.04123	https://api.datacite.org/dois/10.48550/arxiv.2403.04123		matched	ok	abstract_available_not_read	False	False
P0003	Nissist: An Incident Mitigation Copilot based on Troubleshooting Guides	Nissist: An Incident Mitigation Copilot based on Troubleshooting Guides	Kaikai An; Fangkai Yang; Junting Lu; Liqun Li; Zhixing Ren; Hao Huang; Lu Wang; Pu Zhao; Yu Kang; Hua Ding; Qingwei Lin; Saravan Rajmohan; Dongmei Zhang; Qi Zhang	2024	2024	Frontiers in Artificial Intelligence and Applications; ECAI 2024	2402.17531	10.3233/faia241032	https://arxiv.org/abs/2402.17531	https://doi.org/10.3233/faia241032	https://api.datacite.org/dois/10.48550/arxiv.2402.17531	https://api.crossref.org/works/10.3233%2Ffaia241032	matched	ok	fulltext_selected_sections	True	True
P0004	Automated Root Causing of Cloud Incidents using In-Context Learning with GPT-4	Automated Root Causing of Cloud Incidents using In-Context Learning with GPT-4	Zhang, Xuchao; Ghosh, Supriyo; Bansal, Chetan; Wang, Rujia; Ma, Minghua; Kang, Yu; Rajmohan, Saravan	2024			2401.13810		https://arxiv.org/abs/2401.13810	https://arxiv.org/abs/2401.13810	https://api.datacite.org/dois/10.48550/arxiv.2401.13810		matched	ok	abstract_available_not_read	False	False
P0005	Automatic Root Cause Analysis via Large Language Models for Cloud Incidents	Automatic Root Cause Analysis via Large Language Models for Cloud Incidents	Yinfang Chen; Huaibing Xie; Minghua Ma; Yu Kang; Xin Gao; Liu Shi; Yunjie Cao; Xuedong Gao; Hao Fan; Ming Wen; Jun Zeng; Supriyo Ghosh; Xuchao Zhang; Chaoyun Zhang; Qingwei Lin; Saravan Rajmohan; Dongmei Zhang; Tianyin Xu	2023	2024	Proceedings of the Nineteenth European Conference on Computer Systems	2305.15778	10.1145/3627703.3629553	https://arxiv.org/abs/2305.15778	https://doi.org/10.1145/3627703.3629553	https://api.datacite.org/dois/10.48550/arxiv.2305.15778	https://api.crossref.org/works/10.1145%2F3627703.3629553	matched	ok	fulltext_selected_sections	True	True
P0006	OpsEval: A Comprehensive IT Operations Benchmark Suite for Large Language Models	OpsEval: A Comprehensive IT Operations Benchmark Suite for Large Language Models	Liu, Yuhe; Pei, Changhua; Xu, Longlong; Chen, Bohan; Sun, Mingze; Zhang, Zhirui; Sun, Yongqian; Zhang, Shenglin; Wang, Kun; Zhang, Haiming; Li, Jianhui; Xie, Gaogang; Wen, Xidao; Nie, Xiaohui; Ma, Minghua; Pei, Dan	2023			2310.07637		https://arxiv.org/abs/2310.07637	https://arxiv.org/abs/2310.07637	https://api.datacite.org/dois/10.48550/arxiv.2310.07637		matched	ok	abstract_available_not_read	False	False
P0007	Xpert: Empowering Incident Management with Query Recommendations via Large Language Models	Xpert: Empowering Incident Management with Query Recommendations via Large Language Models	Yuxuan Jiang; Chaoyun Zhang; Shilin He; Zhihao Yang; Minghua Ma; Si Qin; Yu Kang; Yingnong Dang; Saravan Rajmohan; Qingwei Lin; Dongmei Zhang	2023	2024	Proceedings of the IEEE/ACM 46th International Conference on Software Engineering	2312.11988	10.1145/3597503.3639081	https://arxiv.org/abs/2312.11988	https://doi.org/10.1145/3597503.3639081	https://api.datacite.org/dois/10.48550/arxiv.2312.11988	https://api.crossref.org/works/10.1145%2F3597503.3639081	matched	ok	fulltext_selected_sections	True	True
P0008	Exploring the Effectiveness of LLMs in Automated Logging Generation: An Empirical Study	Exploring the Effectiveness of LLMs in Automated Logging Generation: An Empirical Study	Li, Yichen; Huo, Yintong; Jiang, Zhihan; Zhong, Renyi; He, Pinjia; Su, Yuxin; Briand, Lionel; Lyu, Michael R.	2023			2307.05950		https://arxiv.org/abs/2307.05950	https://arxiv.org/abs/2307.05950	https://api.datacite.org/dois/10.48550/arxiv.2307.05950		matched	ok	abstract_available_not_read	False	False
P0009	Assess and Summarize: Improve Outage Understanding with Large Language Models	Assess and Summarize: Improve Outage Understanding with Large Language Models	Pengxiang Jin; Shenglin Zhang; Minghua Ma; Haozhe Li; Yu Kang; Liqun Li; Yudong Liu; Bo Qiao; Chaoyun Zhang; Pu Zhao; Shilin He; Federica Sarro; Yingnong Dang; Saravan Rajmohan; Qingwei Lin; Dongmei Zhang	2023	2023	Proceedings of the 31st ACM Joint European Software Engineering Conference and Symposium on the Foundations of Software Engineering	2305.18084	10.1145/3611643.3613891	https://arxiv.org/abs/2305.18084	https://doi.org/10.1145/3611643.3613891	https://api.datacite.org/dois/10.48550/arxiv.2305.18084	https://api.crossref.org/works/10.1145%2F3611643.3613891	matched	ok	fulltext_selected_sections	True	True
P0010	Empower Large Language Model to Perform Better on Industrial Domain-Specific Question Answering	Empower Large Language Model to Perform Better on Industrial Domain-Specific Question Answering	Yang, Fangkai; Zhao, Pu; Wang, Zezhong; Wang, Lu; Zhang, Jue; Garg, Mohit; Lin, Qingwei; Rajmohan, Saravan; Zhang, Dongmei	2023			2305.11541		https://arxiv.org/abs/2305.11541	https://arxiv.org/abs/2305.11541	https://api.datacite.org/dois/10.48550/arxiv.2305.11541		matched	ok	abstract_available_not_read	False	False
