paper_id	title	reference_title	authors	preprint_year	publication_year	venue	arxiv_id	publication_doi	canonical_url	reference_url	metadata_source_url	publication_metadata_url	identity_status	acquisition_status	read_depth	fulltext_local_available	priority_reading
P0052	A Survey of AIOps for Failure Management in the Era of Large Language Models	A Survey of AIOps for Failure Management in the Era of Large Language Models	Zhang, Lingzhe; Jia, Tong; Jia, Mengxi; Wu, Yifan; Liu, Aiwei; Yang, Yong; Wu, Zhonghai; Hu, Xuming; Yu, Philip S.; Li, Ying	2024			2406.11213		https://arxiv.org/abs/2406.11213	https://arxiv.org/abs/2406.11213	https://api.datacite.org/dois/10.48550/arxiv.2406.11213		matched	ok	fulltext_selected_sections	True	True
P0054	AIOpsLab: A Holistic Framework to Evaluate AI Agents for Enabling Autonomous Clouds	AIOpsLab: A Holistic Framework to Evaluate AI Agents for Enabling Autonomous Clouds	Chen, Yinfang; Shetty, Manish; Somashekar, Gagan; Ma, Minghua; Simmhan, Yogesh; Mace, Jonathan; Bansal, Chetan; Wang, Rujia; Rajmohan, Saravan	2025			2501.06706		https://arxiv.org/abs/2501.06706	https://arxiv.org/abs/2501.06706	https://api.datacite.org/dois/10.48550/arxiv.2501.06706		matched	ok	fulltext_selected_sections	True	True
P0055	ITBench: Evaluating AI Agents across Diverse Real-World IT Automation Tasks	ITBench: Evaluating AI Agents across Diverse Real-World IT Automation Tasks	Jha, Saurabh; Arora, Rohan; Watanabe, Yuji; Yanagawa, Takumi; Chen, Yinfang; Clark, Jackson; Bhavya, Bhavya; Verma, Mudit; Kumar, Harshit; Kitahara, Hirokuni; Zheutlin, Noah; Takano, Saki; Pathak, Divya; George, Felix; Wu, Xinbo; Turkkan, Bekir O.; Vanloo, Gerard; Nidd, Michael; Dai, Ting; Chatterjee, Oishik; Gupta, Pranjal; Samanta, Suranjana; Aggarwal, Pooja; Lee, Rong; Murali, Pavankumar; Ahn, Jae-wook; Kar, Debanjana; Rahane, Ameet; Fonseca, Carlos; Paradkar, Amit; Deng, Yu; Moogi, Pratibha; Mohapatra, Prateeti; Abe, Naoki; Narayanaswami, Chandrasekhar; Xu, Tianyin; Varshney, Lav R.; Mahindru, Ruchi; Sailer, Anca; Shwartz, Laura; Sow, Daby; Fuller, Nicholas C. M.; Puri, Ruchir	2025			2502.05352		https://arxiv.org/abs/2502.05352	https://arxiv.org/abs/2502.05352	https://api.datacite.org/dois/10.48550/arxiv.2502.05352		matched	ok	fulltext_selected_sections	True	True
P0111	Stronger, Cheaper and Demonstration-Free Log Parsing with LLMs	Stronger, Cheaper and Demonstration-Free Log Parsing with LLMs	Xiao, Yi; Le, Van-Hoang; Zhang, Hongyu	2024			2406.06156		https://arxiv.org/abs/2406.06156	https://arxiv.org/abs/2406.06156	https://api.datacite.org/dois/10.48550/arxiv.2406.06156		matched	ok	abstract_only	True	True
P0115	LUNAR: Unsupervised LLM-based Log Parsing	LUNAR: Unsupervised LLM-based Log Parsing	Huang, Junjie; Jiang, Zhihan; Chen, Zhuangbin; Lyu, Michael R.	2024			2406.07174		https://arxiv.org/abs/2406.07174	https://arxiv.org/abs/2406.07174	https://api.datacite.org/dois/10.48550/arxiv.2406.07174		matched	ok	abstract_only	True	True
P0325	Passage Re-ranking With BERT	Passage Re-ranking with BERT	Nogueira, Rodrigo; Cho, Kyunghyun	2019			1901.04085		https://arxiv.org/abs/1901.04085	https://arxiv.org/abs/1901.04085	https://api.datacite.org/dois/10.48550/arxiv.1901.04085		matched	ok	abstract_only	True	True
P0331	BEIR: A Heterogenous Benchmark for Zero-shot Evaluation of Information Retrieval Models	BEIR: A Heterogenous Benchmark for Zero-shot Evaluation of Information Retrieval Models	Thakur, Nandan; Reimers, Nils; Rücklé, Andreas; Srivastava, Abhishek; Gurevych, Iryna	2021			2104.08663		https://arxiv.org/abs/2104.08663	https://arxiv.org/abs/2104.08663	https://api.datacite.org/dois/10.48550/arxiv.2104.08663		matched	ok	fulltext_selected_sections	True	True
P0342	Unsupervised Dense Information Retrieval with Contrastive Learning	Unsupervised Dense Information Retrieval with Contrastive Learning	Izacard, Gautier; Caron, Mathilde; Hosseini, Lucas; Riedel, Sebastian; Bojanowski, Piotr; Joulin, Armand; Grave, Edouard	2021			2112.09118		https://arxiv.org/abs/2112.09118	https://arxiv.org/abs/2112.09118	https://api.datacite.org/dois/10.48550/arxiv.2112.09118		matched	ok	abstract_only	True	True
P0376	Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks	Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks	Lewis, Patrick; Perez, Ethan; Piktus, Aleksandra; Petroni, Fabio; Karpukhin, Vladimir; Goyal, Naman; Küttler, Heinrich; Lewis, Mike; Yih, Wen-tau; Rocktäschel, Tim; Riedel, Sebastian; Kiela, Douwe	2020			2005.11401		https://arxiv.org/abs/2005.11401	https://arxiv.org/abs/2005.11401	https://api.datacite.org/dois/10.48550/arxiv.2005.11401		matched	ok	fulltext_selected_sections	True	True
P0481	RAPTOR: Recursive Abstractive Processing for Tree-Organized Retrieval	RAPTOR: Recursive Abstractive Processing for Tree-Organized Retrieval	Sarthi, Parth; Abdullah, Salman; Tuli, Aditi; Khanna, Shubh; Goldie, Anna; Manning, Christopher D.	2024			2401.18059		https://arxiv.org/abs/2401.18059	https://arxiv.org/abs/2401.18059	https://api.datacite.org/dois/10.48550/arxiv.2401.18059		matched	ok	abstract_only	True	True
P0560	Corrective Retrieval Augmented Generation	Corrective Retrieval Augmented Generation	Shi-Qi Yan; Jia-Chen Gu; Yun Zhu; Zhen-Hua Ling	2024	2025		2401.15884	10.2139/ssrn.5267341	https://arxiv.org/abs/2401.15884	https://doi.org/10.2139/ssrn.5267341	https://api.datacite.org/dois/10.48550/arxiv.2401.15884	https://api.crossref.org/works/10.2139%2Fssrn.5267341	matched	ok	abstract_only	True	True
P0561	Self-RAG: Learning to Retrieve, Generate, and Critique through Self-Reflection	Self-RAG: Learning to Retrieve, Generate, and Critique through Self-Reflection	Asai, Akari; Wu, Zeqiu; Wang, Yizhong; Sil, Avirup; Hajishirzi, Hannaneh	2023			2310.11511		https://arxiv.org/abs/2310.11511	https://arxiv.org/abs/2310.11511	https://api.datacite.org/dois/10.48550/arxiv.2310.11511		matched	ok	fulltext_selected_sections	True	True
P0574	RECOMP: Improving Retrieval-Augmented LMs with Compression and Selective Augmentation	RECOMP: Improving Retrieval-Augmented LMs with Compression and Selective Augmentation	Xu, Fangyuan; Shi, Weijia; Choi, Eunsol	2023			2310.04408		https://arxiv.org/abs/2310.04408	https://arxiv.org/abs/2310.04408	https://api.datacite.org/dois/10.48550/arxiv.2310.04408		matched	ok	abstract_only	True	True
P0578	Active Retrieval Augmented Generation	Active Retrieval Augmented Generation	Jiang, Zhengbao; Xu, Frank F.; Gao, Luyu; Sun, Zhiqing; Liu, Qian; Dwivedi-Yu, Jane; Yang, Yiming; Callan, Jamie; Neubig, Graham	2023			2305.06983		https://arxiv.org/abs/2305.06983	https://arxiv.org/abs/2305.06983	https://api.datacite.org/dois/10.48550/arxiv.2305.06983		matched	ok	abstract_only	True	True
P0758	OpenRCA 2.0: From Outcome Labels to Causal Process Supervision	OpenRCA 2.0: From Outcome Labels to Causal Process Supervision	Fang, Aoyang; Yang, Yifan; Shang, Jin'ao; Lu, Qisheng; Xu, Junjielung; Wang, Rui; Zhang, Songhan; Zhang, Yuzhong; Yu, Boxi; He, Pinjia	2026			2606.27154		https://arxiv.org/abs/2606.27154	https://arxiv.org/abs/2606.27154	https://api.datacite.org/dois/10.48550/arxiv.2606.27154		matched	ok	fulltext_selected_sections	True	True
P0763	Retrieval Augmented Generation Evaluation in the Era of Large Language Models: A Comprehensive Survey	Retrieval Augmented Generation Evaluation in the Era of Large Language Models: A Comprehensive Survey	Gan, Aoran; Yu, Hao; Zhang, Kai; Liu, Qi; Yan, Wenyu; Huang, Zhenya; Tong, Shiwei; Hu, Guoping	2025			2504.14891		https://arxiv.org/abs/2504.14891	https://arxiv.org/abs/2504.14891	https://api.datacite.org/dois/10.48550/arxiv.2504.14891		matched	ok	abstract_only	True	True
P0905	MultiHop-RAG: Benchmarking Retrieval-Augmented Generation for Multi-Hop Queries	MultiHop-RAG: Benchmarking Retrieval-Augmented Generation for Multi-Hop Queries	Tang, Yixuan; Yang, Yi	2024			2401.15391		https://arxiv.org/abs/2401.15391	https://arxiv.org/abs/2401.15391	https://api.datacite.org/dois/10.48550/arxiv.2401.15391		matched	ok	fulltext_selected_sections	True	True
