paper_id_or_gap_id	publication_type	peer_review_status	venue_exact	issn	venue_family	venue_rank_scheme	venue_rank_value	venue_rank_year	rank_evidence_id	crossref_type	notes
G0001	journal-article	peer_reviewed	Expert Systems with Applications	0957-4174		sjr	Q1	2024	SJR2024-ESWA	journal-article	gap overlay; CROSSREF-G0001,SJR2024-ESWA
G0002	journal-article	peer_reviewed	IEEE Transactions on Software Engineering	0098-5589		sjr	Q1	2024	SJR2024-TSE	journal-article	gap overlay; CROSSREF-G0002,SJR2024-TSE
G0003	journal-article	peer_reviewed	IEEE Transactions on Services Computing	1939-1374		sjr	Q1	2024	SJR2024-TSC	journal-article	gap overlay; CROSSREF-G0003,SJR2024-TSC
G0004	journal-article	peer_reviewed	IEEE Transactions on Services Computing	1939-1374		sjr	Q1	2024	SJR2024-TSC	journal-article	gap overlay; CROSSREF-G0004,SJR2024-TSC
G0005	journal-article	peer_reviewed	ACM Computing Surveys	0360-0300		sjr	Q1	2024	SJR2024-CSUR	journal-article	gap overlay; CROSSREF-G0005,ARXIV-G0005,ARXIV-DISAMBIGUATION-G0005,SJR2024-CSUR
P0001	journal-article	peer_reviewed	Proceedings of the ACM on Software Engineering		conference_journal_series					journal-article	catalog evidence; publisher_deposited_crossref_metadata; conference journal series; excluded from SJR Q1
P0002	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0003	book-chapter	peer_reviewed	Frontiers in Artificial Intelligence and Applications; ECAI 2024							book-chapter	catalog evidence; publisher_deposited_crossref_metadata
P0004	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0005	proceedings-article	peer_reviewed	Proceedings of the Nineteenth European Conference on Computer Systems		conference_journal_series					proceedings-article	catalog evidence; publisher_deposited_crossref_metadata; conference journal series; excluded from SJR Q1
P0006	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0007	proceedings-article	peer_reviewed	Proceedings of the IEEE/ACM 46th International Conference on Software Engineering		conference_journal_series					proceedings-article	catalog evidence; publisher_deposited_crossref_metadata; conference journal series; excluded from SJR Q1
P0008	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0009	proceedings-article	peer_reviewed	Proceedings of the 31st ACM Joint European Software Engineering Conference and Symposium on the Foundations of Software Engineering		conference_journal_series					proceedings-article	catalog evidence; publisher_deposited_crossref_metadata; conference journal series; excluded from SJR Q1
P0010	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0011	proceedings-article	peer_reviewed	2023 IEEE/ACM 45th International Conference on Software Engineering (ICSE)							proceedings-article	catalog evidence; publisher_deposited_crossref_metadata
P0012	proceedings-article	peer_reviewed	Proceedings of the ACM Symposium on Cloud Computing		conference_journal_series					proceedings-article	catalog evidence; publisher_deposited_crossref_metadata; conference journal series; excluded from SJR Q1
P0013	proceedings-article	peer_reviewed	Proceedings of the 44th International Conference on Software Engineering: Software Engineering in Practice		conference_journal_series					proceedings-article	catalog evidence; publisher_deposited_crossref_metadata; conference journal series; excluded from SJR Q1
P0014	proceedings-article	peer_reviewed	2021 IEEE/ACM 43rd International Conference on Software Engineering: Software Engineering in Practice (ICSE-SEIP)							proceedings-article	catalog evidence; publisher_deposited_crossref_metadata
P0015	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0016	journal-article	peer_reviewed	Applied Sciences			sjr	Q2	2024	SJR2024-APPLIED-SCIENCES	journal-article	catalog evidence; publisher_deposited_crossref_metadata
P0017	proceedings-article	peer_reviewed	Proceedings of the 26th ACM International Conference on Architectural Support for Programming Languages and Operating Systems		conference_journal_series					proceedings-article	catalog evidence; publisher_deposited_crossref_metadata; conference journal series; excluded from SJR Q1
P0018	proceedings-article	peer_reviewed	Proceedings of the 28th ACM Joint Meeting on European Software Engineering Conference and Symposium on the Foundations of Software Engineering		conference_journal_series					proceedings-article	catalog evidence; publisher_deposited_crossref_metadata; conference journal series; excluded from SJR Q1
P0019	proceedings-article	peer_reviewed	14th USENIX Symposium on Operating Systems Design and Implementation (OSDI 20)								catalog evidence; primary_page_citation_tags
P0020	proceedings-article	peer_reviewed	Proceedings of the 2019 27th ACM Joint Meeting on European Software Engineering Conference and Symposium on the Foundations of Software Engineering		conference_journal_series					proceedings-article	catalog evidence; publisher_deposited_crossref_metadata; conference journal series; excluded from SJR Q1
P0021	journal-article	peer_reviewed	IEEE Transactions on Software Engineering	0098-5589		sjr	Q1	2024	SJR2024-TSE	journal-article	catalog evidence; publisher_deposited_crossref_metadata
P0022	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0023	proceedings-article	peer_reviewed	4th USENIX Symposium on Networked Systems Design & Implementation (NSDI 07)								catalog evidence; primary_page_citation_tags
P0024	proceedings-article	peer_reviewed	Workshop on Hot Topics in Networks (HotNets-V)								catalog evidence; primary_page_citation_tags
P0025	journal-article	peer_reviewed	Proceedings of the ACM on Measurement and Analysis of Computing Systems		conference_journal_series					journal-article	catalog evidence; publisher_deposited_crossref_metadata; conference journal series; excluded from SJR Q1
P0026	proceedings-article	peer_reviewed	2022 IEEE 33rd International Symposium on Software Reliability Engineering (ISSRE)							proceedings-article	catalog evidence; publisher_deposited_crossref_metadata
P0027	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0028	proceedings-article	peer_reviewed	Proceedings of the 25th ACM SIGKDD International Conference on Knowledge Discovery &amp; Data Mining		conference_journal_series					proceedings-article	catalog evidence; publisher_deposited_crossref_metadata; conference journal series; excluded from SJR Q1
P0029	proceedings-article	peer_reviewed	Proceedings of the 2018 26th ACM Joint Meeting on European Software Engineering Conference and Symposium on the Foundations of Software Engineering		conference_journal_series					proceedings-article	catalog evidence; publisher_deposited_crossref_metadata; conference journal series; excluded from SJR Q1
P0030	proceedings-article	peer_reviewed	Proceedings of the 2017 ACM SIGSAC Conference on Computer and Communications Security		conference_journal_series					proceedings-article	catalog evidence; publisher_deposited_crossref_metadata; conference journal series; excluded from SJR Q1
P0031	proceedings-article	peer_reviewed	Proceedings of the ACM SIGCOMM 2023 Conference		conference_journal_series					proceedings-article	catalog evidence; publisher_deposited_crossref_metadata; conference journal series; excluded from SJR Q1
P0032	proceedings-article	peer_reviewed	Proceedings of the 31st ACM Joint European Software Engineering Conference and Symposium on the Foundations of Software Engineering		conference_journal_series					proceedings-article	catalog evidence; publisher_deposited_crossref_metadata; conference journal series; excluded from SJR Q1
P0033	proceedings-article	peer_reviewed	13th USENIX Symposium on Operating Systems Design and Implementation (OSDI 18)								catalog evidence; primary_page_citation_tags
P0034	proceedings-article	peer_reviewed	2023 USENIX Annual Technical Conference (USENIX ATC 23)								catalog evidence; primary_page_citation_tags
P0035	proceedings-article	peer_reviewed	2023 IEEE/ACM 45th International Conference on Software Engineering (ICSE)							proceedings-article	catalog evidence; publisher_deposited_crossref_metadata
P0036	proceedings-article	peer_reviewed	Proceedings of the 13th Symposium on Cloud Computing		conference_journal_series					proceedings-article	catalog evidence; publisher_deposited_crossref_metadata; conference journal series; excluded from SJR Q1
P0037	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0038	proceedings-article	peer_reviewed	2021 USENIX Annual Technical Conference (USENIX ATC 21)								catalog evidence; primary_page_citation_tags
P0039	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0040	preprint	preprint									catalog evidence; arxiv_deposited_datacite_metadata; arXiv-only evidence; not peer review
P0041	proceedings-article	peer_reviewed	Proceedings of the Annual conference of the ACM Special Interest Group on Data Communication on the applications, technologies, architectures, and protocols for computer communication		conference_journal_series					proceedings-article	catalog evidence; publisher_deposited_crossref_metadata; conference journal series; excluded from SJR Q1
P0042	proceedings-article	peer_reviewed	Proceedings of the 35th IEEE/ACM International Conference on Automated Software Engineering		conference_journal_series					proceedings-article	catalog evidence; publisher_deposited_crossref_metadata; conference journal series; excluded from SJR Q1
P0043	proceedings-article	peer_reviewed	Proceedings of the 28th ACM Joint Meeting on European Software Engineering Conference and Symposium on the Foundations of Software Engineering		conference_journal_series					proceedings-article	catalog evidence; publisher_deposited_crossref_metadata; conference journal series; excluded from SJR Q1
P0044	proceedings-article	peer_reviewed	Proceedings of the 28th ACM Joint Meeting on European Software Engineering Conference and Symposium on the Foundations of Software Engineering		conference_journal_series					proceedings-article	catalog evidence; publisher_deposited_crossref_metadata; conference journal series; excluded from SJR Q1
