incident_id	source_path	source_url	local_path	release_revision	bytes	sha256	upstream_sha256	upstream_hash_verified	retrieved_at	data_kind
inc_b8f2fc204d33911b	re2ob_checkoutservice_cpu_1/inject_time.txt	https://huggingface.co/datasets/phamquiluan/RCAEval/resolve/afeacb11bcc94dadfd1c8f483ee4377b2b8b614e/re2ob_checkoutservice_cpu_1/inject_time.txt	02_datasets/acquired/labels/injection/inc_b8f2fc204d33911b/inject_time.txt	afeacb11bcc94dadfd1c8f483ee4377b2b8b614e	10	c17fcaa1047c07738176849000c1b88e1f0ddda57a2a73a42ab0c8c58c83e0a3		False	2026-09-12T16:56:40.691508+00:00	label
inc_b8f2fc204d33911b	re2ob_checkoutservice_cpu_1/logs.parquet	https://huggingface.co/datasets/phamquiluan/RCAEval/resolve/afeacb11bcc94dadfd1c8f483ee4377b2b8b614e/re2ob_checkoutservice_cpu_1/logs.parquet	02_datasets/acquired/raw/inc_b8f2fc204d33911b/logs.parquet	afeacb11bcc94dadfd1c8f483ee4377b2b8b614e	336876	e1a25e50c8b0beae4b2886df54d86d2f28877d0b611fed98411e9c0b0c77dad3	e1a25e50c8b0beae4b2886df54d86d2f28877d0b611fed98411e9c0b0c77dad3	True	2026-09-12T16:56:40.695568+00:00	observation
inc_b8f2fc204d33911b	re2ob_checkoutservice_cpu_1/metrics.parquet	https://huggingface.co/datasets/phamquiluan/RCAEval/resolve/afeacb11bcc94dadfd1c8f483ee4377b2b8b614e/re2ob_checkoutservice_cpu_1/metrics.parquet	02_datasets/acquired/raw/inc_b8f2fc204d33911b/metrics.parquet	afeacb11bcc94dadfd1c8f483ee4377b2b8b614e	157212	f46b3d354b234e37c424f54a005329b61aac83d15dcdd46b5642e55f390ab25a	f46b3d354b234e37c424f54a005329b61aac83d15dcdd46b5642e55f390ab25a	True	2026-09-12T16:56:40.698078+00:00	observation
inc_b8f2fc204d33911b	re2ob_checkoutservice_cpu_1/traces.parquet	https://huggingface.co/datasets/phamquiluan/RCAEval/resolve/afeacb11bcc94dadfd1c8f483ee4377b2b8b614e/re2ob_checkoutservice_cpu_1/traces.parquet	02_datasets/acquired/raw/inc_b8f2fc204d33911b/traces.parquet	afeacb11bcc94dadfd1c8f483ee4377b2b8b614e	10146857	56ca8f6dbeb76fab2d33faeca54bce8f40e9c5491ebd76404ebb2dfd83409367	56ca8f6dbeb76fab2d33faeca54bce8f40e9c5491ebd76404ebb2dfd83409367	True	2026-09-12T16:56:40.709118+00:00	observation
inc_fea0b6870c17feac	re2ob_checkoutservice_cpu_2/inject_time.txt	https://huggingface.co/datasets/phamquiluan/RCAEval/resolve/afeacb11bcc94dadfd1c8f483ee4377b2b8b614e/re2ob_checkoutservice_cpu_2/inject_time.txt	02_datasets/acquired/labels/injection/inc_fea0b6870c17feac/inject_time.txt	afeacb11bcc94dadfd1c8f483ee4377b2b8b614e	10	e235854dec09d738024021b17feff34c647f3610d3e669e08f027bbb9b7bd3df		False	2026-09-12T16:56:40.713326+00:00	label
inc_fea0b6870c17feac	re2ob_checkoutservice_cpu_2/logs.parquet	https://huggingface.co/datasets/phamquiluan/RCAEval/resolve/afeacb11bcc94dadfd1c8f483ee4377b2b8b614e/re2ob_checkoutservice_cpu_2/logs.parquet	02_datasets/acquired/raw/inc_fea0b6870c17feac/logs.parquet	afeacb11bcc94dadfd1c8f483ee4377b2b8b614e	191241	36fd5701f2d6e1f2d93131985d6feae5e284bdcbb21828ef9f3e90271a79f6b7	36fd5701f2d6e1f2d93131985d6feae5e284bdcbb21828ef9f3e90271a79f6b7	True	2026-09-12T16:56:40.716840+00:00	observation
inc_fea0b6870c17feac	re2ob_checkoutservice_cpu_2/metrics.parquet	https://huggingface.co/datasets/phamquiluan/RCAEval/resolve/afeacb11bcc94dadfd1c8f483ee4377b2b8b614e/re2ob_checkoutservice_cpu_2/metrics.parquet	02_datasets/acquired/raw/inc_fea0b6870c17feac/metrics.parquet	afeacb11bcc94dadfd1c8f483ee4377b2b8b614e	127755	11f2df96b6b2b60a9600bacd8d3163b2f31a614aa756c19adfc51a41bcbebfc7	11f2df96b6b2b60a9600bacd8d3163b2f31a614aa756c19adfc51a41bcbebfc7	True	2026-09-12T16:56:40.720856+00:00	observation
inc_fea0b6870c17feac	re2ob_checkoutservice_cpu_2/traces.parquet	https://huggingface.co/datasets/phamquiluan/RCAEval/resolve/afeacb11bcc94dadfd1c8f483ee4377b2b8b614e/re2ob_checkoutservice_cpu_2/traces.parquet	02_datasets/acquired/raw/inc_fea0b6870c17feac/traces.parquet	afeacb11bcc94dadfd1c8f483ee4377b2b8b614e	5426555	f833e959286b706b60307fc3beca2980f26a0dda62782362dbcb34e7f696b3d1	f833e959286b706b60307fc3beca2980f26a0dda62782362dbcb34e7f696b3d1	True	2026-09-12T16:56:40.727879+00:00	observation
inc_618f73faa4a01c2c	re2ob_checkoutservice_cpu_3/inject_time.txt	https://huggingface.co/datasets/phamquiluan/RCAEval/resolve/afeacb11bcc94dadfd1c8f483ee4377b2b8b614e/re2ob_checkoutservice_cpu_3/inject_time.txt	02_datasets/acquired/labels/injection/inc_618f73faa4a01c2c/inject_time.txt	afeacb11bcc94dadfd1c8f483ee4377b2b8b614e	10	b46ba552f10d493ed20980a402c3ee7a5d436d1ec442f1534343bc964f3bd0b8		False	2026-09-12T16:56:40.732227+00:00	label
inc_618f73faa4a01c2c	re2ob_checkoutservice_cpu_3/logs.parquet	https://huggingface.co/datasets/phamquiluan/RCAEval/resolve/afeacb11bcc94dadfd1c8f483ee4377b2b8b614e/re2ob_checkoutservice_cpu_3/logs.parquet	02_datasets/acquired/raw/inc_618f73faa4a01c2c/logs.parquet	afeacb11bcc94dadfd1c8f483ee4377b2b8b614e	337942	355576dcfc9ec58a5ae268cf8810f586664a2cb45cb591f0c5c2ab212404ef31	355576dcfc9ec58a5ae268cf8810f586664a2cb45cb591f0c5c2ab212404ef31	True	2026-09-12T16:56:40.735233+00:00	observation
