incident_id	scenario_family_id	split	split_version
inc_b8f2fc204d33911b	fam_2dd69071db6d5870	dev	cs221-family-split-20260912-v1
inc_fea0b6870c17feac	fam_2dd69071db6d5870	dev	cs221-family-split-20260912-v1
inc_618f73faa4a01c2c	fam_2dd69071db6d5870	dev	cs221-family-split-20260912-v1
inc_ff7d20c7a66ce259	fam_2146a05c9c373f5b	train	cs221-family-split-20260912-v1
inc_1bd0f85d1967890c	fam_2146a05c9c373f5b	train	cs221-family-split-20260912-v1
inc_e5991ba8d859360d	fam_2146a05c9c373f5b	train	cs221-family-split-20260912-v1
inc_a9c5f4078ddde5fb	fam_a0abdc12690c3f8a	train	cs221-family-split-20260912-v1
inc_ed76f6a4a2ccbe29	fam_a0abdc12690c3f8a	train	cs221-family-split-20260912-v1
inc_b6c8b8329c2790cb	fam_a0abdc12690c3f8a	train	cs221-family-split-20260912-v1
inc_5aec36653e1ae8e1	fam_7509e102eb200af4	train	cs221-family-split-20260912-v1
inc_90a870236431d8c2	fam_7509e102eb200af4	train	cs221-family-split-20260912-v1
inc_ac67c10adc4fe094	fam_7509e102eb200af4	train	cs221-family-split-20260912-v1
inc_7a5cc77f7867a66f	fam_60b0d0f21531c84a	test	cs221-family-split-20260912-v1
inc_41d11c8c51f185b7	fam_60b0d0f21531c84a	test	cs221-family-split-20260912-v1
inc_a90410596ea7234e	fam_60b0d0f21531c84a	test	cs221-family-split-20260912-v1
inc_b65b223fe2861ce9	fam_17aa853a5b7ab7b5	train	cs221-family-split-20260912-v1
inc_7b4b399e7c81a552	fam_17aa853a5b7ab7b5	train	cs221-family-split-20260912-v1
inc_0991de462f9a6c05	fam_17aa853a5b7ab7b5	train	cs221-family-split-20260912-v1
inc_d1821966fc7791fc	fam_4f5e98ae3822da35	test	cs221-family-split-20260912-v1
inc_5b4214f9c0e50d81	fam_4f5e98ae3822da35	test	cs221-family-split-20260912-v1
inc_c3bf40c257e90fe0	fam_4f5e98ae3822da35	test	cs221-family-split-20260912-v1
inc_fb17a1c06d15f08d	fam_610d8830a094fe19	train	cs221-family-split-20260912-v1
inc_87e54e05272da43e	fam_610d8830a094fe19	train	cs221-family-split-20260912-v1
inc_42d05a5a96453d5d	fam_610d8830a094fe19	train	cs221-family-split-20260912-v1
inc_666f8c5628760ebf	fam_d01fafb55e33d975	test	cs221-family-split-20260912-v1
inc_3ca96f4fd6ec63a3	fam_d01fafb55e33d975	test	cs221-family-split-20260912-v1
inc_ee53782e9c264b25	fam_d01fafb55e33d975	test	cs221-family-split-20260912-v1
inc_1fa5a9117fca9344	fam_c8ca4f8f3cb28f6a	train	cs221-family-split-20260912-v1
inc_575674712ab891b4	fam_c8ca4f8f3cb28f6a	train	cs221-family-split-20260912-v1
inc_28de536b28e1a888	fam_c8ca4f8f3cb28f6a	train	cs221-family-split-20260912-v1
