resource_id	resource_type	url	proposed_priority	gate	current_status	next_action
P0001	paper_metadata_only	https://arxiv.org/abs/2310.01796	P1	metadata_only; follow publisher access policy	primary_title_identifier_confirmed	Lấy BibTeX/metadata chính thức để bổ sung tác giả, venue, năm xuất bản; không cào PDF ở giai đoạn này.
P0002	paper_metadata_only	https://arxiv.org/abs/2403.04123	P1	metadata_only; follow publisher access policy	primary_title_identifier_confirmed	Lấy BibTeX/metadata chính thức để bổ sung tác giả, venue, năm xuất bản; không cào PDF ở giai đoạn này.
P0003	paper_metadata_only	https://arxiv.org/abs/2402.17531	P1	metadata_only; follow publisher access policy	primary_title_identifier_confirmed	Lấy BibTeX/metadata chính thức để bổ sung tác giả, venue, năm xuất bản; không cào PDF ở giai đoạn này.
P0004	paper_metadata_only	https://arxiv.org/abs/2401.13810	P1	metadata_only; follow publisher access policy	primary_title_identifier_confirmed	Lấy BibTeX/metadata chính thức để bổ sung tác giả, venue, năm xuất bản; không cào PDF ở giai đoạn này.
P0005	paper_metadata_only	https://arxiv.org/abs/2305.15778	P1	metadata_only; follow publisher access policy	primary_title_identifier_confirmed	Lấy BibTeX/metadata chính thức để bổ sung tác giả, venue, năm xuất bản; không cào PDF ở giai đoạn này.
P0006	paper_metadata_only	https://arxiv.org/abs/2310.07637	P1	metadata_only; follow publisher access policy	primary_title_identifier_confirmed	Lấy BibTeX/metadata chính thức để bổ sung tác giả, venue, năm xuất bản; không cào PDF ở giai đoạn này.
P0007	paper_metadata_only	https://arxiv.org/abs/2312.11988	P1	metadata_only; follow publisher access policy	primary_title_identifier_confirmed	Lấy BibTeX/metadata chính thức để bổ sung tác giả, venue, năm xuất bản; không cào PDF ở giai đoạn này.
P0008	paper_metadata_only	https://arxiv.org/abs/2307.05950	P1	metadata_only; follow publisher access policy	primary_title_identifier_confirmed	Lấy BibTeX/metadata chính thức để bổ sung tác giả, venue, năm xuất bản; không cào PDF ở giai đoạn này.
P0009	paper_metadata_only	https://arxiv.org/abs/2305.18084	P1	metadata_only; follow publisher access policy	primary_title_identifier_confirmed	Lấy BibTeX/metadata chính thức để bổ sung tác giả, venue, năm xuất bản; không cào PDF ở giai đoạn này.
P0010	paper_metadata_only	https://arxiv.org/abs/2305.11541	P1	metadata_only; follow publisher access policy	primary_title_identifier_confirmed	Lấy BibTeX/metadata chính thức để bổ sung tác giả, venue, năm xuất bản; không cào PDF ở giai đoạn này.
P0011	paper_metadata_only	https://arxiv.org/abs/2301.03797	P1	metadata_only; follow publisher access policy	primary_title_identifier_confirmed	Lấy BibTeX/metadata chính thức để bổ sung tác giả, venue, năm xuất bản; không cào PDF ở giai đoạn này.
P0012	paper_metadata_only	https://doi.org/10.1145/3357223.3362701	P1	metadata_only; follow publisher access policy	blocked_or_unreadable	Lấy BibTeX/metadata chính thức để bổ sung tác giả, venue, năm xuất bản; không cào PDF ở giai đoạn này.
P0013	paper_metadata_only	https://arxiv.org/abs/2204.11598	P1	metadata_only; follow publisher access policy	primary_title_identifier_confirmed	Lấy BibTeX/metadata chính thức để bổ sung tác giả, venue, năm xuất bản; không cào PDF ở giai đoạn này.
P0014	paper_metadata_only	https://doi.org/10.1109/ICSE-SEIP52600.2021.00031	P1	metadata_only; follow publisher access policy	blocked_or_unreadable	Lấy BibTeX/metadata chính thức để bổ sung tác giả, venue, năm xuất bản; không cào PDF ở giai đoạn này.
