mapping_id	document_id	source_id	service_scope	symptom_family	mapping_basis	review_state	is_gold_qrel	relevance_grade	version_compatibility
MAP-0001	KBH-D057-0ad6299a6f1d	D057	application_wide	deployment_or_container_start	rule_based_path_title_candidate_not_incident_evidence	needs_human_review	False		unverified
MAP-0002	KBH-D057-0df08c03749a	D057	application_wide	deployment_or_container_start	rule_based_path_title_candidate_not_incident_evidence	needs_human_review	False		unverified
MAP-0003	KBH-D057-10119f6772e5	D057	application_wide	metrics_collection_or_alert_config	rule_based_path_title_candidate_not_incident_evidence	needs_human_review	False		unverified
MAP-0004	KBH-D057-1abc0a247aed	D057	cartservice	deployment_or_container_start	rule_based_path_title_candidate_not_incident_evidence	needs_human_review	False		unverified
MAP-0005	KBH-D057-3265685291bc	D057	adservice	general_operational_reference	rule_based_path_title_candidate_not_incident_evidence	needs_human_review	False		unverified
MAP-0006	KBH-D057-4849feed2498	D057	productcatalogservice	deployment_or_container_start	rule_based_path_title_candidate_not_incident_evidence	needs_human_review	False		unverified
MAP-0007	KBH-D057-4fe9c69346cd	D057	frontend	general_operational_reference	rule_based_path_title_candidate_not_incident_evidence	needs_human_review	False		unverified
MAP-0008	KBH-D057-562ed69e4788	D057	frontend	deployment_or_container_start	rule_based_path_title_candidate_not_incident_evidence	needs_human_review	False		unverified
MAP-0009	KBH-D057-86278876e6bf	D057	loadgenerator	deployment_or_container_start	rule_based_path_title_candidate_not_incident_evidence	needs_human_review	False		unverified
MAP-0010	KBH-D057-9151fc03d266	D057	emailservice	deployment_or_container_start	rule_based_path_title_candidate_not_incident_evidence	needs_human_review	False		unverified
MAP-0011	KBH-D057-92b8eacf1ebb	D057	shippingservice	general_operational_reference	rule_based_path_title_candidate_not_incident_evidence	needs_human_review	False		unverified
MAP-0012	KBH-D057-938597fb30c8	D057	recommendationservice	deployment_or_container_start	rule_based_path_title_candidate_not_incident_evidence	needs_human_review	False		unverified
MAP-0013	KBH-D057-9db557923ec4	D057	adservice	deployment_or_container_start	rule_based_path_title_candidate_not_incident_evidence	needs_human_review	False		unverified
MAP-0014	KBH-D057-a0e4aadcfe2b	D057	shippingservice	deployment_or_container_start	rule_based_path_title_candidate_not_incident_evidence	needs_human_review	False		unverified
MAP-0015	KBH-D057-a23e26c1b47c	D057	productcatalogservice	general_operational_reference	rule_based_path_title_candidate_not_incident_evidence	needs_human_review	False		unverified
MAP-0016	KBH-D057-b33563055168	D057	application_wide	application_architecture_or_rpc_contract	rule_based_path_title_candidate_not_incident_evidence	needs_human_review	False		unverified
MAP-0017	KBH-D057-c118fc413f7c	D057	application_wide	network_dns_or_service_unreachable	rule_based_path_title_candidate_not_incident_evidence	needs_human_review	False		unverified
MAP-0018	KBH-D057-c14488b4640d	D057	checkoutservice	general_operational_reference	rule_based_path_title_candidate_not_incident_evidence	needs_human_review	False		unverified
MAP-0019	KBH-D057-cb3046b350d8	D057	application_wide	application_architecture_or_rpc_contract	rule_based_path_title_candidate_not_incident_evidence	needs_human_review	False		unverified
MAP-0020	KBH-D057-ccf307e9aff7	D057	application_wide	application_architecture_or_rpc_contract	rule_based_path_title_candidate_not_incident_evidence	needs_human_review	False		unverified
MAP-0021	KBH-D057-da18896de895	D057	application_wide	application_architecture_or_rpc_contract	rule_based_path_title_candidate_not_incident_evidence	needs_human_review	False		unverified
MAP-0022	KBH-D057-da53c9e679f7	D057	checkoutservice	deployment_or_container_start	rule_based_path_title_candidate_not_incident_evidence	needs_human_review	False		unverified
MAP-0023	KBH-D057-e84a682ff5d9	D057	paymentservice	deployment_or_container_start	rule_based_path_title_candidate_not_incident_evidence	needs_human_review	False		unverified
MAP-0024	KBH-D057-f4bcce2e6d7e	D057	application_wide	application_architecture_or_rpc_contract	rule_based_path_title_candidate_not_incident_evidence	needs_human_review	False		unverified
MAP-0025	KBH-D057-fda19af7a97a	D057	currencyservice	deployment_or_container_start	rule_based_path_title_candidate_not_incident_evidence	needs_human_review	False		unverified
MAP-0026	KBH-D058-1288140b93d4	D058	platform_generic	metrics_collection_or_alert_config	rule_based_path_title_candidate_not_incident_evidence	needs_human_review	False		unverified
MAP-0027	KBH-D058-14d8b6f74be5	D058	platform_generic	metrics_collection_or_alert_config	rule_based_path_title_candidate_not_incident_evidence	needs_human_review	False		unverified
MAP-0028	KBH-D058-22bb04d72ccf	D058	platform_generic	network_dns_or_service_unreachable	rule_based_path_title_candidate_not_incident_evidence	needs_human_review	False		unverified
MAP-0029	KBH-D058-4067ea9b384b	D058	platform_generic	general_operational_reference	rule_based_path_title_candidate_not_incident_evidence	needs_human_review	False		unverified
MAP-0030	KBH-D058-54c2092d43a5	D058	platform_generic	network_dns_or_service_unreachable	rule_based_path_title_candidate_not_incident_evidence	needs_human_review	False		unverified
MAP-0031	KBH-D058-57df42feca96	D058	platform_generic	memory_pressure_or_oom	rule_based_path_title_candidate_not_incident_evidence	needs_human_review	False		unverified
MAP-0032	KBH-D058-57df42feca96	D058	platform_generic	pod_crash_restart_or_not_ready	rule_based_path_title_candidate_not_incident_evidence	needs_human_review	False		unverified
MAP-0033	KBH-D058-6346769f861a	D058	platform_generic	node_health	rule_based_path_title_candidate_not_incident_evidence	needs_human_review	False		unverified
MAP-0034	KBH-D058-6346769f861a	D058	platform_generic	metrics_collection_or_alert_config	rule_based_path_title_candidate_not_incident_evidence	needs_human_review	False		unverified
MAP-0035	KBH-D058-714196198a9c	D058	platform_generic	pod_crash_restart_or_not_ready	rule_based_path_title_candidate_not_incident_evidence	needs_human_review	False		unverified
MAP-0036	KBH-D058-7f4c1beb746e	D058	platform_generic	general_operational_reference	rule_based_path_title_candidate_not_incident_evidence	needs_human_review	False		unverified
MAP-0037	KBH-D058-8f1d50e206b1	D058	platform_generic	pod_crash_restart_or_not_ready	rule_based_path_title_candidate_not_incident_evidence	needs_human_review	False		unverified
MAP-0038	KBH-D058-94f18a70ecb0	D058	platform_generic	cpu_pressure_or_throttling	rule_based_path_title_candidate_not_incident_evidence	needs_human_review	False		unverified
