mapping_id	document_id	source_id	service_scope	symptom_family	mapping_basis	review_state	is_gold_qrel	relevance_grade	version_compatibility
MAP-0001	KB-D057-0df08c03749a	D057	application_wide	deployment_or_container_start	rule_based_path_title_candidate_not_incident_evidence	needs_human_review	False		unverified
MAP-0002	KB-D057-10119f6772e5	D057	application_wide	metrics_collection_or_alert_config	rule_based_path_title_candidate_not_incident_evidence	needs_human_review	False		unverified
MAP-0003	KB-D057-1abc0a247aed	D057	cartservice	deployment_or_container_start	rule_based_path_title_candidate_not_incident_evidence	needs_human_review	False		unverified
MAP-0004	KB-D057-3265685291bc	D057	adservice	general_operational_reference	rule_based_path_title_candidate_not_incident_evidence	needs_human_review	False		unverified
MAP-0005	KB-D057-4849feed2498	D057	productcatalogservice	deployment_or_container_start	rule_based_path_title_candidate_not_incident_evidence	needs_human_review	False		unverified
MAP-0006	KB-D057-4fe9c69346cd	D057	frontend	general_operational_reference	rule_based_path_title_candidate_not_incident_evidence	needs_human_review	False		unverified
MAP-0007	KB-D057-562ed69e4788	D057	frontend	deployment_or_container_start	rule_based_path_title_candidate_not_incident_evidence	needs_human_review	False		unverified
MAP-0008	KB-D057-86278876e6bf	D057	loadgenerator	deployment_or_container_start	rule_based_path_title_candidate_not_incident_evidence	needs_human_review	False		unverified
MAP-0009	KB-D057-9151fc03d266	D057	emailservice	deployment_or_container_start	rule_based_path_title_candidate_not_incident_evidence	needs_human_review	False		unverified
MAP-0010	KB-D057-92b8eacf1ebb	D057	shippingservice	general_operational_reference	rule_based_path_title_candidate_not_incident_evidence	needs_human_review	False		unverified
MAP-0011	KB-D057-938597fb30c8	D057	recommendationservice	deployment_or_container_start	rule_based_path_title_candidate_not_incident_evidence	needs_human_review	False		unverified
MAP-0012	KB-D057-9db557923ec4	D057	adservice	deployment_or_container_start	rule_based_path_title_candidate_not_incident_evidence	needs_human_review	False		unverified
MAP-0013	KB-D057-a0e4aadcfe2b	D057	shippingservice	deployment_or_container_start	rule_based_path_title_candidate_not_incident_evidence	needs_human_review	False		unverified
MAP-0014	KB-D057-a23e26c1b47c	D057	productcatalogservice	general_operational_reference	rule_based_path_title_candidate_not_incident_evidence	needs_human_review	False		unverified
MAP-0015	KB-D057-b33563055168	D057	application_wide	application_architecture_or_rpc_contract	rule_based_path_title_candidate_not_incident_evidence	needs_human_review	False		unverified
MAP-0016	KB-D057-c118fc413f7c	D057	application_wide	network_dns_or_service_unreachable	rule_based_path_title_candidate_not_incident_evidence	needs_human_review	False		unverified
MAP-0017	KB-D057-c14488b4640d	D057	checkoutservice	general_operational_reference	rule_based_path_title_candidate_not_incident_evidence	needs_human_review	False		unverified
MAP-0018	KB-D057-cb3046b350d8	D057	application_wide	application_architecture_or_rpc_contract	rule_based_path_title_candidate_not_incident_evidence	needs_human_review	False		unverified
MAP-0019	KB-D057-ccf307e9aff7	D057	application_wide	application_architecture_or_rpc_contract	rule_based_path_title_candidate_not_incident_evidence	needs_human_review	False		unverified
