source_id	url	kind	warning
S001	https://github.com/2471023025/RALM_Survey/blob/main/README.md	bibliography_discovery_only	Nguồn phát hiện, không thay primary-title verification của từng paper.
S002	https://github.com/DEEP-PolyU/Awesome-GraphRAG/blob/main/README.md	bibliography_discovery_only	Nguồn phát hiện, không thay primary-title verification của từng paper.
S003	https://github.com/DavidZWZ/Awesome-RAG-Reasoning	bibliography_discovery_only	Nguồn phát hiện, không thay primary-title verification của từng paper.
S004	https://github.com/IntelligentDDS/awesome-papers/blob/main/Anomaly_detection/README.md	bibliography_discovery_only	Nguồn phát hiện, không thay primary-title verification của từng paper.
S005	https://github.com/IntelligentDDS/awesome-papers/blob/main/Root_cause_analysis/README.md	bibliography_discovery_only	Nguồn phát hiện, không thay primary-title verification của từng paper.
S006	https://github.com/Jun-jie-Huang/awesome-LLM-AIOps/blob/main/README.md	bibliography_discovery_only	Nguồn phát hiện, không thay primary-title verification của từng paper.
S007	https://github.com/OpsPAI/awesome-AIOps/blob/main/README.md	bibliography_discovery_only	Nguồn phát hiện, không thay primary-title verification của từng paper.
S008	https://github.com/PKU-DAIR/RAG-Survey/blob/main/README.md	bibliography_discovery_only	Nguồn phát hiện, không thay primary-title verification của từng paper.
S009	https://github.com/RUC-NLPIR/LLM4IR-Survey/blob/main/README.md	bibliography_discovery_only	Nguồn phát hiện, không thay primary-title verification của từng paper.
S010	https://github.com/RUCAIBox/DenseRetrieval/blob/main/README.md	bibliography_discovery_only	Nguồn phát hiện, không thay primary-title verification của từng paper.
S011	https://github.com/YHPeter/Awesome-RAG-Evaluation	bibliography_discovery_only	Nguồn phát hiện, không thay primary-title verification của từng paper.
S012	https://github.com/logpai/awesome-log-analysis/blob/master/README.md	bibliography_discovery_only	Nguồn phát hiện, không thay primary-title verification của từng paper.
S013	https://github.com/phamquiluan/awesome-failure-diagnosis	bibliography_discovery_only	Nguồn phát hiện, không thay primary-title verification của từng paper.
S014	https://github.com/zeyang919/LLM4Log/blob/main/papers.md	bibliography_discovery_only	Nguồn phát hiện, không thay primary-title verification của từng paper.
S015	primary_abstract_and_project_pages	bibliography_discovery_only	Nguồn phát hiện, không thay primary-title verification của từng paper.
S016	web_search_primary_arxiv	bibliography_discovery_only	Nguồn phát hiện, không thay primary-title verification của từng paper.
D001	https://github.com/phamquiluan/RCAEval	dataset_collection	explicit_data_and_code; public_landing_and_file_or_download_listing; assets_not_tested
D002	https://github.com/microsoft/OpenRCA	dataset_collection	repo_only_external_data_unclear; public_repository; external_download_not_tested
D003	https://arxiv.org/abs/2606.27154	benchmark_release_unconfirmed	release_and_license_unconfirmed; paper_readable; data_release_not_confirmed
D004	https://lemma-rca.github.io/	dataset_collection	conflict; public_dataset_cards; license_conflict_blocks_release_decision
D005	https://github.com/logpai/loghub	dataset_collection	custom_research_terms; public_landing_and_file_or_download_listing; assets_not_tested
D006	https://github.com/logpai/loghub-2.0	dataset_collection	custom_research_terms; public_landing_and_file_or_download_listing; assets_not_tested
D007	https://github.com/CloudWise-OpenSource/GAIA-DataSet	dataset_collection	conflict; public_repository; license_conflict_blocks_release_decision
D008	https://zenodo.org/records/3549604	dataset	not_established; public_landing_and_file_or_download_listing; assets_not_tested
D009	https://github.com/IntelligentDDS/Nezha	dataset_artifact	repo_only_external_data_unclear; public_landing_and_file_or_download_listing; assets_not_tested
D010	https://github.com/BEbillionaireUSD/Eadro	dataset_artifact	not_established; public_repository; external_download_not_tested
D011	https://github.com/NetManAIOps/DejaVu	dataset_collection	repo_only_external_data_unclear; public_repository; external_download_not_tested
D012	https://github.com/NetManAIOps/TraceRCA	dataset_artifact	not_established; public_repository; external_download_not_tested
D013	https://github.com/IntelligentDDS/MicroRank	method_only	code_only; public_method_repository; no_dataset_release_confirmed
D014	https://github.com/NetManAIOps/CIRCA	generation_platform	code_only; public_code_and_simulation_resources
D015	https://github.com/IntelligentDDS/Post-mortems-Analysis	dataset_artifact	not_established; public_repository_with_documents_and_annotations
D016	https://github.com/NetManAIOps/OmniAnomaly	dataset	repo_only_external_data_unclear; public_landing_and_file_or_download_listing; assets_not_tested
D017	https://github.com/khundman/telemanom	dataset_collection	repo_only_external_data_unclear; public_landing_and_file_or_download_listing; assets_not_tested
D018	https://github.com/numenta/NAB	dataset_collection	data_scope_unconfirmed; public_landing_and_file_or_download_listing; assets_not_tested
D019	https://github.com/ModelInteraction/MSQA	sample_dataset	not_established; public_sample_only; full_release_not_confirmed
D020	https://github.com/HC-Guo/Owl	sample_dataset	repo_only_external_data_unclear; public_repository_and_examples; full_dataset_not_confirmed
D021	https://huggingface.co/datasets/NASP/neteval-exam	dataset	explicit_dataset_card; public_landing_and_file_or_download_listing; assets_not_tested
D022	https://huggingface.co/datasets/galileo-ai/ragbench	dataset_collection	explicit_dataset_card; public_landing_and_file_or_download_listing; assets_not_tested
