path	bytes	sha256	artifact_class	redistribution_status	sensitive_data_status	disposition
.gitattributes	244	0be1fb3edb5fdddfc77bbbaef56e97977ab173e84eb2aea36cec66a27cbfadc9	repo-root	approved	none	keep_public
.github/workflows/ci.yml	1368	0f6edd03ac9ba6daddc40283359d8968ef1ab05dacda5a98a8c379bf26c45697	ci-config	approved	none	keep_public
.github/workflows/reproducibility.yml	1291	499aa11ec5281e680e653581c19652e79aba2600692abb8e29eb931df10bad68	ci-config	approved	none	keep_public
.gitignore	2860	88bcb5918c9e82f1637b223331b7749995edf49bc4f0a0a4db9757c3a8548e35	repo-root	approved	none	keep_public
00_plan/annotation_and_leakage_policy.md	5552	ae82e223bbf2bf62dbe5076a4a029b34837435fe42547655360fca43aae125dc	project-plan	approved	none	keep_public
00_plan/experiments_and_evaluation.md	7885	b5cac2df3b098da6dca109754a82222884310dd77833b13f61e96610f9df429e	project-plan	approved	none	keep_public
00_plan/literature_synthesis.md	17550	e7b95d18f5a1c8108ca663cd7e66fc9551153d54e4d82c284ecafba23f0821b1	project-plan	approved	none	keep_public
00_plan/project_proposal.md	7289	568041fff300d99edd5b88e915e80224b32e7f54ad907d9edfef50071c226455	project-plan	approved	none	keep_public
00_plan/remaining-work.md	2979	dd4026b0257db5e5337b554b4c0b89ab8ee5c068872047597fcda17067f5e5c7	project-plan	approved	none	keep_public
00_plan/timeline_and_scope.md	3623	6144b26b3ed326399f623acabb0bdafe4c97c17d1e65945941911edd80aaa05a	project-plan	approved	none	keep_public
01_papers/catalog.jsonl	1257673	4e8d15ba44762ab50f4dd6cdee7c185433be7accd2a7c8720de6e4028c7ddb57	paper-metadata	approved	public_metadata_approved	keep_public
01_papers/catalog.tsv	426032	aa9f9c7ad1a43ea16c2fdba0ca44964ed4cf738bd4f21450c53be15e270f669e	paper-metadata	approved	public_metadata_approved	keep_public
01_papers/confirmed_primary.jsonl	952012	e2c81b98f8f0059b8fa2f4f7b905491b04b1de959daa5156686d15ef226ce011	paper-metadata	approved	public_metadata_approved	keep_public
01_papers/core-literature.md	1935	8c0b0d6f5c5d5a9f6048a8c85dc4387328531cdb596371566f946c7d2050206f	paper-metadata	approved	public_metadata_approved	keep_public
01_papers/core-literature.tsv	11480	8e27e417cdd2c1a77edce978e2c96dd30af9375f51c168c4b61d047b8c3034c9	paper-metadata	approved	public_metadata_approved	keep_public
01_papers/enriched/README.md	9665	19a15b916f6a6db85dafc19b483d6d5e012aab646bf1cf3a5f91741cf1a7c1bf	paper-metadata	approved	public_metadata_approved	keep_public
01_papers/enriched/acquire-metadata.py	9099	a7ef2a8d60d2895c4f39cc018c3c7495166c8b4c0f698181d3818cbe0f8f6972	paper-metadata	approved	public_metadata_approved	keep_public
01_papers/enriched/acquire-priority-publications.py	2208	3606f93ac9d2e4c1e7044d4c96168cc38a46d446794f24f41c95275816f6095a	paper-metadata	approved	public_metadata_approved	keep_public
01_papers/enriched/acquire-priority-text.py	2845	3d1b3e465a70a4e963851b8fd721af47b60766e959e2244486efa8493e66a292	paper-metadata	approved	public_metadata_approved	keep_public
01_papers/enriched/acquisition-log.jsonl	205067	0fd7b785f3d87bc560455bc538d8e842ebc5e1cb6bed6c80e4cd0426c76fd746	paper-metadata	approved	public_metadata_approved	keep_public
01_papers/enriched/alias-version-map.tsv	218317	79147a1237742004ee3b22b555933bb402c9d372b458ad9ed6bd6c938c4a0a0a	paper-metadata	approved	public_metadata_approved	keep_public
