candidate_id	incident_id	chunk_id	document_id	reviewer_id	grade	reviewed_at	evidence_role	supported_claim	applicability	span_start	span_end	review_state
cand_16fcd3f9e504d470	inc_1bd0f85d1967890c	KBH-D057-10119f6772e5-C0002	KBH-D057-10119f6772e5									unjudged
cand_e311a6ae9f9e6f6b	inc_1bd0f85d1967890c	KBH-D057-3265685291bc-C0002	KBH-D057-3265685291bc									unjudged
cand_0592a53f53163128	inc_1bd0f85d1967890c	KBH-D057-b33563055168-C0005	KBH-D057-b33563055168									unjudged
cand_24354da581c168fc	inc_0f782051d78bc07a	KBH-D057-10119f6772e5-C0001	KBH-D057-10119f6772e5									unjudged
cand_a968fcecec828aaa	inc_08457c0fbff4700e	KBH-D057-10119f6772e5-C0002	KBH-D057-10119f6772e5									unjudged
cand_9e80b4924dc8c19a	inc_1bd0f85d1967890c	KBH-D057-ccf307e9aff7-C0002	KBH-D057-ccf307e9aff7									unjudged
cand_e06e5771845150d5	inc_08457c0fbff4700e	KBH-D057-f4bcce2e6d7e-C0003	KBH-D057-f4bcce2e6d7e									unjudged
cand_6b72c01965a2096e	inc_15361b2d5df6a488	KBH-D057-3265685291bc-C0001	KBH-D057-3265685291bc									unjudged
cand_505dbb8801d1f0d0	inc_08457c0fbff4700e	KBH-D057-cb3046b350d8-C0002	KBH-D057-cb3046b350d8									unjudged
cand_ff414de6e8504d6a	inc_0f782051d78bc07a	KBH-D057-b33563055168-C0002	KBH-D057-b33563055168									unjudged
cand_23bdd9dff2158076	inc_15361b2d5df6a488	KBH-D057-f4bcce2e6d7e-C0003	KBH-D057-f4bcce2e6d7e									unjudged
cand_887a45508fc3c6d7	inc_0991de462f9a6c05	KBH-D057-10119f6772e5-C0002	KBH-D057-10119f6772e5									unjudged
cand_d3200cf62cb78b3f	inc_1bd0f85d1967890c	KBH-D057-f4bcce2e6d7e-C0003	KBH-D057-f4bcce2e6d7e									unjudged
cand_3ad0e0a57f5e7e53	inc_0f782051d78bc07a	KBH-D058-714196198a9c-C0011	KBH-D058-714196198a9c									unjudged
cand_fd455952e8e86ebb	inc_0991de462f9a6c05	KBH-D057-3265685291bc-C0002	KBH-D057-3265685291bc									unjudged
cand_c33c2957c322e994	inc_15361b2d5df6a488	KBH-D057-cb3046b350d8-C0002	KBH-D057-cb3046b350d8									unjudged
cand_0b018cff29d56dc9	inc_15361b2d5df6a488	KBH-D057-b33563055168-C0002	KBH-D057-b33563055168									unjudged
