candidate_id	incident_id	chunk_id	document_id	retrievers	query_hashes	min_rank	ranks_json	scores_json
cand_16fcd3f9e504d470	inc_1bd0f85d1967890c	KBH-D057-10119f6772e5-C0002	KBH-D057-10119f6772e5	bm25_preview_only	2e5e0765f36af8aaf76cce7d8803a5e78d39498708adaf33dd2b1ed3fefb5e61	10	"{""bm25_preview_only"": 10}"	"{""bm25_preview_only"": 12.234901601942441}"
cand_e311a6ae9f9e6f6b	inc_1bd0f85d1967890c	KBH-D057-3265685291bc-C0002	KBH-D057-3265685291bc	bm25_preview_only	2e5e0765f36af8aaf76cce7d8803a5e78d39498708adaf33dd2b1ed3fefb5e61	1	"{""bm25_preview_only"": 1}"	"{""bm25_preview_only"": 17.52826185883972}"
cand_0592a53f53163128	inc_1bd0f85d1967890c	KBH-D057-b33563055168-C0005	KBH-D057-b33563055168	bm25_preview_only	2e5e0765f36af8aaf76cce7d8803a5e78d39498708adaf33dd2b1ed3fefb5e61	8	"{""bm25_preview_only"": 8}"	"{""bm25_preview_only"": 12.502362147983966}"
cand_24354da581c168fc	inc_0f782051d78bc07a	KBH-D057-10119f6772e5-C0001	KBH-D057-10119f6772e5	bm25_preview_only	d35a9c81e882c27f8f8b1708d68ddfa4f94bfaffaea4e9b58fe5ded4d2c7bac9	7	"{""bm25_preview_only"": 7}"	"{""bm25_preview_only"": 16.78243262602482}"
cand_a968fcecec828aaa	inc_08457c0fbff4700e	KBH-D057-10119f6772e5-C0002	KBH-D057-10119f6772e5	bm25_preview_only	f5f16ab91778b4d2a4b5b69413a8e559fbb2bcd66758a48a1840b50a2341b780	10	"{""bm25_preview_only"": 10}"	"{""bm25_preview_only"": 12.234901601942441}"
cand_9e80b4924dc8c19a	inc_1bd0f85d1967890c	KBH-D057-ccf307e9aff7-C0002	KBH-D057-ccf307e9aff7	bm25_preview_only	2e5e0765f36af8aaf76cce7d8803a5e78d39498708adaf33dd2b1ed3fefb5e61	7	"{""bm25_preview_only"": 7}"	"{""bm25_preview_only"": 12.670319402739665}"
cand_e06e5771845150d5	inc_08457c0fbff4700e	KBH-D057-f4bcce2e6d7e-C0003	KBH-D057-f4bcce2e6d7e	bm25_preview_only	f5f16ab91778b4d2a4b5b69413a8e559fbb2bcd66758a48a1840b50a2341b780	9	"{""bm25_preview_only"": 9}"	"{""bm25_preview_only"": 12.373740944487356}"
cand_6b72c01965a2096e	inc_15361b2d5df6a488	KBH-D057-3265685291bc-C0001	KBH-D057-3265685291bc	bm25_preview_only	6540f84d9ab2279c12d4304ba168f0e630679ec2258293ddea145f15b38ce85f	7	"{""bm25_preview_only"": 7}"	"{""bm25_preview_only"": 12.752969651412094}"
cand_505dbb8801d1f0d0	inc_08457c0fbff4700e	KBH-D057-cb3046b350d8-C0002	KBH-D057-cb3046b350d8	bm25_preview_only	f5f16ab91778b4d2a4b5b69413a8e559fbb2bcd66758a48a1840b50a2341b780	5	"{""bm25_preview_only"": 5}"	"{""bm25_preview_only"": 13.792367589386771}"
cand_ff414de6e8504d6a	inc_0f782051d78bc07a	KBH-D057-b33563055168-C0002	KBH-D057-b33563055168	bm25_preview_only	d35a9c81e882c27f8f8b1708d68ddfa4f94bfaffaea4e9b58fe5ded4d2c7bac9	4	"{""bm25_preview_only"": 4}"	"{""bm25_preview_only"": 18.31117302117407}"
cand_23bdd9dff2158076	inc_15361b2d5df6a488	KBH-D057-f4bcce2e6d7e-C0003	KBH-D057-f4bcce2e6d7e	bm25_preview_only	6540f84d9ab2279c12d4304ba168f0e630679ec2258293ddea145f15b38ce85f	10	"{""bm25_preview_only"": 10}"	"{""bm25_preview_only"": 12.373740944487356}"
cand_887a45508fc3c6d7	inc_0991de462f9a6c05	KBH-D057-10119f6772e5-C0002	KBH-D057-10119f6772e5	bm25_preview_only	75065200dd2679549fdb431749936c18e5f2e4653c34f79d46259f3ed59c2ebc	10	"{""bm25_preview_only"": 10}"	"{""bm25_preview_only"": 12.234901601942441}"
