session_id	date	incident_id	reviewer_id	role	n_candidates	minutes_spent	seconds_per_judgment	notes
cal_sess_01	2026-09-14	inc_08457c0fbff4700e	rev_annotator_a	reviewer_1	10			sample calibration record
cal_sess_02	2026-09-14	inc_08457c0fbff4700e	rev_annotator_b	reviewer_2	10			sample calibration record
cal_sess_03	2026-09-14	inc_0991de462f9a6c05	rev_annotator_b	reviewer_1	10			sample calibration record
cal_sess_04	2026-09-14	inc_0991de462f9a6c05	rev_annotator_c	reviewer_2	10			sample calibration record
cal_sess_05	2026-09-14	inc_0f782051d78bc07a	rev_annotator_c	reviewer_1	10			sample calibration record
cal_sess_06	2026-09-14	inc_0f782051d78bc07a	rev_annotator_a	reviewer_2	10			sample calibration record
cal_sess_07	2026-09-14	inc_15361b2d5df6a488	rev_annotator_a	reviewer_1	10			sample calibration record
cal_sess_08	2026-09-14	inc_15361b2d5df6a488	rev_annotator_b	reviewer_2	10			sample calibration record
cal_sess_09	2026-09-14	inc_1bd0f85d1967890c	rev_annotator_b	reviewer_1	10			sample calibration record
cal_sess_10	2026-09-14	inc_1bd0f85d1967890c	rev_annotator_c	reviewer_2	10			sample calibration record
