candidate_id	incident_id	chunk_id	document_id	retrievers	query_hashes	min_rank	ranks_json	scores_json
cand_5c6da10678603602	inc_08457c0fbff4700e	KBC-D057-4aa99ad9ca8a6ef110f7e03b	KBH-D057-f4bcce2e6d7e	bm25,dense	34f81e0246717903e57fb3bcc03e700df6dc18c521fd87389c748f6705b1901b	1	{"bm25": 1, "dense": 1}	{"bm25": 66.27119394445067, "dense": 0.8785287141799927}
cand_36e0ea01997b5ffc	inc_08457c0fbff4700e	KBC-D057-728f4de0d3d02c2e44535e4d	KBH-D057-f4bcce2e6d7e	bm25,dense	34f81e0246717903e57fb3bcc03e700df6dc18c521fd87389c748f6705b1901b	2	{"bm25": 6, "dense": 2}	{"bm25": 23.986850786551926, "dense": 0.8651318550109863}
cand_c8a135099b775cc0	inc_08457c0fbff4700e	KBC-D057-f43a5e910b133af7ef278865	KBH-D057-b33563055168	bm25,dense	34f81e0246717903e57fb3bcc03e700df6dc18c521fd87389c748f6705b1901b	3	{"bm25": 8, "dense": 3}	{"bm25": 21.391479970419766, "dense": 0.8631159067153931}
cand_6559ec4c164624bd	inc_08457c0fbff4700e	KBC-D057-45b99fa125935926d356e9b6	KBH-D057-f4bcce2e6d7e	bm25,dense	34f81e0246717903e57fb3bcc03e700df6dc18c521fd87389c748f6705b1901b	4	{"bm25": 4, "dense": 8}	{"bm25": 34.2407543182044, "dense": 0.8589568138122559}
cand_edb0911fa9518d0e	inc_08457c0fbff4700e	KBC-D057-e9a382e7d4fd09cb360debfc	KBH-D057-da53c9e679f7	bm25,dense	34f81e0246717903e57fb3bcc03e700df6dc18c521fd87389c748f6705b1901b	5	{"bm25": 9, "dense": 5}	{"bm25": 20.19285927930997, "dense": 0.8619434833526611}
cand_170adcae9bd7dfca	inc_08457c0fbff4700e	KBC-D059-d30463249bc318fbf1d34bc5	KBH-D059-880cd100599f	bm25,dense	34f81e0246717903e57fb3bcc03e700df6dc18c521fd87389c748f6705b1901b	6	{"bm25": 11, "dense": 4}	{"bm25": 16.942275615685915, "dense": 0.8625154495239258}
cand_e37946f271b0d44f	inc_08457c0fbff4700e	KBC-D057-0caeb6bf377ab228f9807bc3	KBH-D057-f4bcce2e6d7e	bm25,dense	34f81e0246717903e57fb3bcc03e700df6dc18c521fd87389c748f6705b1901b	7	{"bm25": 5, "dense": 12}	{"bm25": 25.714419287918343, "dense": 0.8541630506515503}
cand_9de8e902cc12c9c9	inc_08457c0fbff4700e	KBC-D057-6eb155351cb0c12576824a54	KBH-D057-562ed69e4788	bm25,dense	34f81e0246717903e57fb3bcc03e700df6dc18c521fd87389c748f6705b1901b	8	{"bm25": 10, "dense": 7}	{"bm25": 18.860130925652896, "dense": 0.8595428466796875}
cand_40d6eb7153c2f2d8	inc_08457c0fbff4700e	KBC-D057-d2dec06bc5ad6334bea381b1	KBH-D057-c118fc413f7c	bm25,dense	34f81e0246717903e57fb3bcc03e700df6dc18c521fd87389c748f6705b1901b	9	{"bm25": 3, "dense": 18}	{"bm25": 37.95395505237096, "dense": 0.8511158227920532}
cand_0a8b501f0d4c36d9	inc_08457c0fbff4700e	KBC-D057-ebb2cf48c9eed9865917abc8	KBH-D057-b33563055168	bm25,dense	34f81e0246717903e57fb3bcc03e700df6dc18c521fd87389c748f6705b1901b	10	{"bm25": 7, "dense": 16}	{"bm25": 23.017452623890573, "dense": 0.8513376712799072}
cand_80c1b7b19690f19b	inc_0991de462f9a6c05	KBC-D057-6eb155351cb0c12576824a54	KBH-D057-562ed69e4788	bm25,dense	ffcb0a26e3d6ba3b756170fb64510dcc27b41e1e0ee0cbfa708169fa2f4b0285	1	{"bm25": 5, "dense": 10}	{"bm25": 18.69938114411866, "dense": 0.8570347428321838}
cand_e26878e966165950	inc_0991de462f9a6c05	KBC-D057-0caeb6bf377ab228f9807bc3	KBH-D057-f4bcce2e6d7e	bm25,dense	ffcb0a26e3d6ba3b756170fb64510dcc27b41e1e0ee0cbfa708169fa2f4b0285	2	{"bm25": 3, "dense": 13}	{"bm25": 22.210654110419295, "dense": 0.85582035779953}
cand_dc6e3bb9b2d12152	inc_0991de462f9a6c05	KBC-D057-f43a5e910b133af7ef278865	KBH-D057-b33563055168	bm25,dense	ffcb0a26e3d6ba3b756170fb64510dcc27b41e1e0ee0cbfa708169fa2f4b0285	3	{"bm25": 7, "dense": 11}	{"bm25": 15.495086999564682, "dense": 0.8561160564422607}
cand_713c486da80f05d3	inc_0991de462f9a6c05	KBC-D057-90841863f220313bffa0377b	KBH-D057-1abc0a247aed	bm25,dense	ffcb0a26e3d6ba3b756170fb64510dcc27b41e1e0ee0cbfa708169fa2f4b0285	4	{"bm25": 16, "dense": 4}	{"bm25": 10.734483138870177, "dense": 0.8604735136032104}
cand_8fa73d848646787d	inc_0991de462f9a6c05	KBC-D058-b868a54e37319ab0c268877e	KBH-D058-54c2092d43a5	bm25,dense	ffcb0a26e3d6ba3b756170fb64510dcc27b41e1e0ee0cbfa708169fa2f4b0285	5	{"bm25": 10, "dense": 12}	{"bm25": 12.081212988551455, "dense": 0.8559422492980957}
cand_7d6772ed3180a9be	inc_0991de462f9a6c05	KBC-D057-ebb2cf48c9eed9865917abc8	KBH-D057-b33563055168	bm25,dense	ffcb0a26e3d6ba3b756170fb64510dcc27b41e1e0ee0cbfa708169fa2f4b0285	6	{"bm25": 4, "dense": 25}	{"bm25": 20.116906830388093, "dense": 0.8500467538833618}
cand_0c659807962d9f27	inc_0991de462f9a6c05	KBC-D057-d2dec06bc5ad6334bea381b1	KBH-D057-c118fc413f7c	bm25,dense	ffcb0a26e3d6ba3b756170fb64510dcc27b41e1e0ee0cbfa708169fa2f4b0285	7	{"bm25": 1, "dense": 34}	{"bm25": 28.79886823256604, "dense": 0.8464927673339844}
cand_b92ae4b87a5b8a36	inc_0991de462f9a6c05	KBC-D057-728f4de0d3d02c2e44535e4d	KBH-D057-f4bcce2e6d7e	bm25,dense	ffcb0a26e3d6ba3b756170fb64510dcc27b41e1e0ee0cbfa708169fa2f4b0285	8	{"bm25": 26, "dense": 6}	{"bm25": 9.343284193508293, "dense": 0.858191967010498}
cand_06ace31db6bac495	inc_0991de462f9a6c05	KBC-D058-af53af35781acf2a26a8f0ba	KBH-D058-4067ea9b384b	bm25,dense	ffcb0a26e3d6ba3b756170fb64510dcc27b41e1e0ee0cbfa708169fa2f4b0285	9	{"bm25": 38, "dense": 3}	{"bm25": 6.774506076932294, "dense": 0.8610793352127075}
cand_8959f74298724e56	inc_0991de462f9a6c05	KBC-D058-2a6b22a3c5e42c4df64e3f65	KBH-D058-4067ea9b384b	bm25,dense	ffcb0a26e3d6ba3b756170fb64510dcc27b41e1e0ee0cbfa708169fa2f4b0285	10	{"bm25": 19, "dense": 19}	{"bm25": 10.282224288919473, "dense": 0.8527867794036865}
cand_bb9b3aa51f4c8751	inc_0f782051d78bc07a	KBC-D059-d30463249bc318fbf1d34bc5	KBH-D059-880cd100599f	bm25,dense	a3d28c7d045f9e7daf6ddf389d41618629c7b4d21c4b5a4e7d8869ded7f8afdd	1	{"bm25": 4, "dense": 2}	{"bm25": 12.817430138387286, "dense": 0.8444255590438843}
cand_7520b200ab1831af	inc_0f782051d78bc07a	KBC-D057-878a460540274ab64e37e0c2	KBH-D057-10119f6772e5	bm25,dense	a3d28c7d045f9e7daf6ddf389d41618629c7b4d21c4b5a4e7d8869ded7f8afdd	2	{"bm25": 5, "dense": 48}	{"bm25": 12.509233477566909, "dense": 0.8236597776412964}
cand_f4e1b360e0bec4b4	inc_0f782051d78bc07a	KBC-D057-f43a5e910b133af7ef278865	KBH-D057-b33563055168	bm25,dense	a3d28c7d045f9e7daf6ddf389d41618629c7b4d21c4b5a4e7d8869ded7f8afdd	3	{"bm25": 17, "dense": 26}	{"bm25": 8.914514846832969, "dense": 0.8285019993782043}
